Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,476752,476752,100.0,0,0.0
2,scope,476752,476752,100.0,0,0.0
3,logsys,476752,476752,100.0,0,0.0
4,grant_nbr,476752,476752,100.0,0,0.0
5,fund,476752,476752,100.0,0,0.0
6,farea,476752,476752,100.0,0,0.0
7,busa,476752,476752,100.0,0,0.0
8,hrkft,476752,476752,100.0,0,0.0
9,obart,476752,476752,100.0,0,0.0
10,objnr,476752,476752,100.0,0,0.0
11,acct,476752,476752,100.0,0,0.0
12,bukrs,476752,476752,100.0,0,0.0
13,datpb,476752,476752,100.0,0,0.0
14,datpv,476752,476752,100.0,0,0.0
15,datib,476752,476752,100.0,0,0.0
16,dativ,476752,476752,100.0,0,0.0
17,src_commit_time,476752,476752,100.0,0,0.0
