Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,rclnt,14946,14946,100.0,0,0.0
2,gl_sirid,14946,14946,100.0,0,0.0
3,kokrs,14946,14946,100.0,0,0.0
4,oclnt,14946,14946,100.0,0,0.0
5,wrttp,14946,14946,100.0,0,0.0
6,tsl,14946,14946,100.0,0,0.0
7,hsl,14946,14946,100.0,0,0.0
8,ksl,14946,14946,100.0,0,0.0
9,msl,14946,14946,100.0,0,0.0
10,sgtxt,14946,14946,100.0,0,0.0
11,autom,14946,14946,100.0,0,0.0
12,docty,14946,14946,100.0,0,0.0
13,activ,14946,14946,100.0,0,0.0
14,bvorg,14946,14946,100.0,0,0.0
15,budat,14946,14946,100.0,0,0.0
16,wsdat,14946,14946,100.0,0,0.0
17,refdocnr,14946,14946,100.0,0,0.0
18,refryear,14946,14946,100.0,0,0.0
19,refdocln,14946,14946,100.0,0,0.0
20,refdocct,14946,14946,100.0,0,0.0
21,refactiv,14946,14946,100.0,0,0.0
22,cpudt,14946,14946,100.0,0,0.0
23,cputm,14946,14946,100.0,0,0.0
24,usnam,14946,14946,100.0,0,0.0
25,awtyp,14946,14946,100.0,0,0.0
26,aworg,14946,14946,100.0,0,0.0
27,logsys,14946,14946,100.0,0,0.0
28,stokz,14946,14946,100.0,0,0.0
29,stflg,14946,14946,100.0,0,0.0
30,account,14946,14946,100.0,0,0.0
31,val_refdocln,14946,14946,100.0,0,0.0
32,vrgng,14946,14946,100.0,0,0.0
33,slogsys,14946,14946,100.0,0,0.0
34,sgrant_nbr,14946,14946,100.0,0,0.0
35,rhrkft,14946,14946,100.0,0,0.0
36,rldnr,14946,14946,100.0,0,0.0
37,rrcty,14946,14946,100.0,0,0.0
38,rvers,14946,14946,100.0,0,0.0
39,ryear,14946,14946,100.0,0,0.0
40,rtcur,14946,14946,100.0,0,0.0
41,runit,14946,14946,100.0,0,0.0
42,drcrk,14946,14946,100.0,0,0.0
43,poper,14946,14946,100.0,0,0.0
44,docct,14946,14946,100.0,0,0.0
45,docnr,14946,14946,100.0,0,0.0
46,docln,14946,14946,100.0,0,0.0
47,rbukrs,14946,14946,100.0,0,0.0
48,racct,14946,14946,100.0,0,0.0
49,robart,14946,14946,100.0,0,0.0
50,sfund,14946,14946,100.0,0,0.0
51,rscope,14946,14946,100.0,0,0.0
52,rbusa,14946,14946,100.0,0,0.0
53,rfarea,14946,14946,100.0,0,0.0
54,rfund,14946,14946,100.0,0,0.0
55,rgrant_nbr,14946,14946,100.0,0,0.0
56,rlogsys,14946,14946,100.0,0,0.0
57,sbukrs,14946,14946,100.0,0,0.0
58,sacct,14946,14946,100.0,0,0.0
59,shrkft,14946,14946,100.0,0,0.0
60,sobart,14946,14946,100.0,0,0.0
61,sscope,14946,14946,100.0,0,0.0
62,sbusa,14946,14946,100.0,0,0.0
63,sfarea,14946,14946,100.0,0,0.0
64,src_commit_time,14946,14946,100.0,0,0.0
