Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,6026,6026,100.0,0,0.0
2,VGE04,6026,6026,100.0,0,0.0
3,ZGR01_REF,6026,6026,100.0,0,0.0
4,FORTN,6026,6026,100.0,0,0.0
5,HROID,6026,6026,100.0,0,0.0
6,PDEST,6026,6026,100.0,0,0.0
7,RSANZ,6026,6026,100.0,0,0.0
8,MTPVP,6026,6026,100.0,0,0.0
9,MTMVP,6026,6026,100.0,0,0.0
10,MTRVP,6026,6026,100.0,0,0.0
11,SORTB,6026,6026,100.0,0,0.0
12,CPLGR,6026,6026,100.0,0,0.0
13,MATYP,6026,6026,100.0,0,0.0
14,FORMR,6026,6026,100.0,0,0.0
15,ZWMIN,6026,6026,100.0,0,0.0
16,ZEIWM,6026,6026,100.0,0,0.0
17,ZWNOR,6026,6026,100.0,0,0.0
18,ZEIWN,6026,6026,100.0,0,0.0
19,ORTGR,6026,6026,100.0,0,0.0
20,KAPID,6026,6026,100.0,0,0.0
21,FORT3,6026,6026,100.0,0,0.0
22,FORT2,6026,6026,100.0,0,0.0
23,FORT1,6026,6026,100.0,0,0.0
24,STEUS_REF,6026,6026,100.0,0,0.0
25,RASCH_REF,6026,6026,100.0,0,0.0
26,QUALF_REF,6026,6026,100.0,0,0.0
27,LOGRP_REF,6026,6026,100.0,0,0.0
28,LOANZ_REF,6026,6026,100.0,0,0.0
29,LOART_REF,6026,6026,100.0,0,0.0
30,KTSCH_REF,6026,6026,100.0,0,0.0
31,VGE06,6026,6026,100.0,0,0.0
32,ZGR02_REF,6026,6026,100.0,0,0.0
33,ZGR03_REF,6026,6026,100.0,0,0.0
34,ZGR04_REF,6026,6026,100.0,0,0.0
35,LIFNR,6026,6026,100.0,0,0.0
36,SNTYPE,6026,6026,100.0,0,0.0
37,SRTYPE,6026,6026,100.0,0,0.0
38,ISTBED_KZ,6026,6026,100.0,0,0.0
39,MIXMAT,6026,6026,100.0,0,0.0
40,LGORT_RES,6026,6026,100.0,0,0.0
41,RESGR,6026,6026,100.0,0,0.0
42,STOBJ,6026,6026,100.0,0,0.0
43,VGDAU,6026,6026,100.0,0,0.0
44,HRPLVAR,6026,6026,100.0,0,0.0
45,VGDIM,6026,6026,100.0,0,0.0
46,VGARB,6026,6026,100.0,0,0.0
47,LIFNR_REF,6026,6026,100.0,0,0.0
48,SLWID_REF,6026,6026,100.0,0,0.0
49,SLWID,6026,6026,100.0,0,0.0
50,ZGR05_REF,6026,6026,100.0,0,0.0
51,HRTYP,6026,6026,100.0,0,0.0
52,RGEKZ,6026,6026,100.0,0,0.0
53,BDEGR,6026,6026,100.0,0,0.0
54,SUBSYS,6026,6026,100.0,0,0.0
55,PRVBE,6026,6026,100.0,0,0.0
56,HR,6026,6026,100.0,0,0.0
57,RSANZ_REF,6026,6026,100.0,0,0.0
58,RUZUS,6026,6026,100.0,0,0.0
59,STEUS_Q,6026,6026,100.0,0,0.0
60,STEUS_N,6026,6026,100.0,0,0.0
61,STEUS_I,6026,6026,100.0,0,0.0
62,STEUS_C,6026,6026,100.0,0,0.0
