Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,214920,214920,100.0,0,0.0
2,KNEDT,214920,214920,100.0,0,0.0
3,DATUV,214920,214920,100.0,0,0.0
4,AENNR,214920,214920,100.0,0,0.0
5,LKENZ,214920,214920,100.0,0,0.0
6,KNBEO,214920,214920,100.0,0,0.0
7,KNGRP,214920,214920,100.0,0,0.0
8,KNAUS,214920,214920,100.0,0,0.0
9,KNADT,214920,214920,100.0,0,0.0
10,KNEUS,214920,214920,100.0,0,0.0
11,KNSTA,214920,214920,100.0,0,0.0
12,KNNUM,214920,214920,100.0,0,0.0
13,KNSCE,214920,214920,100.0,0,0.0
14,KNVER2,214920,214920,100.0,0,0.0
15,KNVER,214920,214920,100.0,0,0.0
16,KNSOFT,214920,214920,100.0,0,0.0
17,KNART2,214920,214920,100.0,0,0.0
18,KNART,214920,214920,100.0,0,0.0
19,KNNAM,214920,214920,100.0,0,0.0
20,ADZHL,214920,214920,100.0,0,0.0
21,src_commit_time,214920,214920,100.0,0,0.0
