Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,TABNAME,537626,537626,100.0,0,0.0
2,TABLEN_FEATURE,537626,537626,100.0,0,0.0
3,EXCLASS,537626,537626,100.0,0,0.0
4,WRONGCL,537626,537626,100.0,0,0.0
5,ALWAYSTRP,537626,537626,100.0,0,0.0
6,ALLDATAINCL,537626,537626,100.0,0,0.0
7,WITH_PARAMETERS,537626,537626,100.0,0,0.0
8,EXVIEW_INCLUDED,537626,537626,100.0,0,0.0
9,KEYMAX_FEATURE,537626,537626,100.0,0,0.0
10,KEYLEN_FEATURE,537626,537626,100.0,0,0.0
11,NONTRP_INCLUDED,537626,537626,100.0,0,0.0
12,BUFFERED,537626,537626,100.0,0,0.0
13,TABCLASS,537626,537626,100.0,0,0.0
14,VIEWREF,537626,537626,100.0,0,0.0
15,VIEWREF_ERR,537626,537626,100.0,0,0.0
16,SQLTAB,537626,537626,100.0,0,0.0
17,DATMIN,537626,537626,100.0,0,0.0
18,DATMAX,537626,537626,100.0,0,0.0
19,DATAVG,537626,537626,100.0,0,0.0
20,CLIDEP,537626,537626,100.0,0,0.0
21,AS4VERS,537626,537626,100.0,0,0.0
22,PROXYTYPE,537626,537626,100.0,0,0.0
23,SHLPEXI,537626,537626,100.0,0,0.0
24,MULTIPLEX,537626,537626,100.0,0,0.0
25,COMPRFLAG,537626,537626,100.0,0,0.0
26,LANGDEP,537626,537626,100.0,0,0.0
27,ACTFLAG,537626,537626,100.0,0,0.0
28,APPLCLASS,537626,537626,100.0,0,0.0
29,AUTHCLASS,537626,537626,100.0,0,0.0
30,AS4USER,537626,537626,100.0,0,0.0
31,AS4DATE,537626,537626,100.0,0,0.0
32,AS4TIME,537626,537626,100.0,0,0.0
33,MASTERLANG,537626,537626,100.0,0,0.0
34,AS4LOCAL,537626,537626,100.0,0,0.0
35,MAINFLAG,537626,537626,100.0,0,0.0
36,CONTFLAG,537626,537626,100.0,0,0.0
37,RESERVETAB,537626,537626,100.0,0,0.0
38,GLOBALFLAG,537626,537626,100.0,0,0.0
39,PROZPUFF,537626,537626,100.0,0,0.0
40,VIEWCLASS,537626,537626,100.0,0,0.0
41,VIEWGRANT,537626,537626,100.0,0,0.0
42,src_commit_time,537626,537626,100.0,0,0.0
