Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,11708612,11708612,100.0,0,0.0
2,PDATL,11708612,11708612,100.0,0,0.0
3,PPRDV,11708612,11708612,100.0,0,0.0
4,PPRDL,11708612,11708612,100.0,0,0.0
5,PPRDZ,11708612,11708612,100.0,0,0.0
6,KOSGR,11708612,11708612,100.0,0,0.0
7,HRKFT,11708612,11708612,100.0,0,0.0
8,VERS3,11708612,11708612,100.0,0,0.0
9,VERS2,11708612,11708612,100.0,0,0.0
10,VERS1,11708612,11708612,100.0,0,0.0
11,BWVA3,11708612,11708612,100.0,0,0.0
12,BWVA2,11708612,11708612,100.0,0,0.0
13,BWVA1,11708612,11708612,100.0,0,0.0
14,KALN1,11708612,11708612,100.0,0,0.0
15,KALKV,11708612,11708612,100.0,0,0.0
16,KALKL,11708612,11708612,100.0,0,0.0
17,KALKZ,11708612,11708612,100.0,0,0.0
18,PDATZ,11708612,11708612,100.0,0,0.0
19,PDATV,11708612,11708612,100.0,0,0.0
20,TIMESTAMP,11708612,11708612,100.0,0,0.0
21,EKALR,11708612,11708612,100.0,0,0.0
22,OKLAS,11708612,11708612,100.0,0,0.0
23,MBRUE,11708612,11708612,100.0,0,0.0
24,FBWST,11708612,11708612,100.0,0,0.0
25,VBWST,11708612,11708612,100.0,0,0.0
26,LBWST,11708612,11708612,100.0,0,0.0
27,FPLPX,11708612,11708612,100.0,0,0.0
28,VPLPX,11708612,11708612,100.0,0,0.0
29,LPLPX,11708612,11708612,100.0,0,0.0
30,BWSPA,11708612,11708612,100.0,0,0.0
31,HKMAT,11708612,11708612,100.0,0,0.0
32,VKSAL,11708612,11708612,100.0,0,0.0
33,LPLPR,11708612,11708612,100.0,0,0.0
34,MLAST,11708612,11708612,100.0,0,0.0
35,MLMAA,11708612,11708612,100.0,0,0.0
36,VPLPR,11708612,11708612,100.0,0,0.0
37,ZPLPR,11708612,11708612,100.0,0,0.0
38,ZKDAT,11708612,11708612,100.0,0,0.0
39,MATNR,11708612,11708612,100.0,0,0.0
40,VMVER,11708612,11708612,100.0,0,0.0
41,VMSAL,11708612,11708612,100.0,0,0.0
42,VMKUM,11708612,11708612,100.0,0,0.0
43,SALKV,11708612,11708612,100.0,0,0.0
44,BKLAS,11708612,11708612,100.0,0,0.0
45,PEINH,11708612,11708612,100.0,0,0.0
46,STPRS,11708612,11708612,100.0,0,0.0
47,VERPR,11708612,11708612,100.0,0,0.0
48,VPRSV,11708612,11708612,100.0,0,0.0
49,SALK3,11708612,11708612,100.0,0,0.0
50,LBKUM,11708612,11708612,100.0,0,0.0
51,POSNR,11708612,11708612,100.0,0,0.0
52,VBELN,11708612,11708612,100.0,0,0.0
53,SOBKZ,11708612,11708612,100.0,0,0.0
54,BWTAR,11708612,11708612,100.0,0,0.0
55,BWKEY,11708612,11708612,100.0,0,0.0
56,VMVPR,11708612,11708612,100.0,0,0.0
57,VMSTP,11708612,11708612,100.0,0,0.0
58,ZKPRS,11708612,11708612,100.0,0,0.0
59,VMPEI,11708612,11708612,100.0,0,0.0
60,LAEPR,11708612,11708612,100.0,0,0.0
61,STPRV,11708612,11708612,100.0,0,0.0
62,BWTTY,11708612,11708612,100.0,0,0.0
63,LFMON,11708612,11708612,100.0,0,0.0
64,LFGJA,11708612,11708612,100.0,0,0.0
65,VJSAV,11708612,11708612,100.0,0,0.0
66,VJBKL,11708612,11708612,100.0,0,0.0
67,VJPEI,11708612,11708612,100.0,0,0.0
68,VJSTP,11708612,11708612,100.0,0,0.0
69,VJVER,11708612,11708612,100.0,0,0.0
70,VJVPR,11708612,11708612,100.0,0,0.0
71,VJSAL,11708612,11708612,100.0,0,0.0
72,VJKUM,11708612,11708612,100.0,0,0.0
73,VMSAV,11708612,11708612,100.0,0,0.0
74,VMBKL,11708612,11708612,100.0,0,0.0
75,src_commit_time,11708612,11708612,100.0,0,0.0
