Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,EBELN,1631039,1631039,100.0,0,0.0
2,ESTKZ,1631039,1631039,100.0,0,0.0
3,UTIME,1631039,1631039,100.0,0,0.0
4,CHNGIND,1631039,1631039,100.0,0,0.0
5,RUN_INTERFACE_ID,1631039,1631039,100.0,0,0.0
6,VBELP_ST,1631039,1631039,100.0,0,0.0
7,REF_ETENS,1631039,1631039,100.0,0,0.0
8,UECHA,1631039,1631039,100.0,0,0.0
9,MAHNZ,1631039,1631039,100.0,0,0.0
10,VBELP,1631039,1631039,100.0,0,0.0
11,EBELP,1631039,1631039,100.0,0,0.0
12,ADLS_LOADED_DATE,1631039,1631039,100.0,0,0.0
13,DABMG,1631039,1631039,100.0,0,0.0
14,LPEIN,1631039,1631039,100.0,0,0.0
15,MENGE,1631039,1631039,100.0,0,0.0
16,ETENS,1631039,1631039,100.0,0,0.0
17,MANDT,1631039,1631039,100.0,0,0.0
18,EBTYP,1631039,1631039,100.0,0,0.0
19,ERDAT,1631039,1631039,100.0,0,0.0
20,EINDT,1631039,1631039,100.0,0,0.0
21,KZDIS,1630064,1631039,99.9,975,0.1
22,EZEIT,1629719,1631039,99.9,1320,0.1
23,XBLNR,1622122,1631039,99.5,8917,0.5
24,EMATN,741044,1631039,45.4,889995,54.6
25,VBELN,741051,1631039,45.4,889988,54.6
26,CHARG,124012,1631039,7.6,1507027,92.4
27,UZEIT,67,1631039,0.0,1630972,100.0
28,IMWRK,0,1631039,0.0,1631039,100.0
29,VBELN_ST,0,1631039,0.0,1631039,100.0
30,LOEKZ,0,1631039,0.0,1631039,100.0
31,MPROF,0,1631039,0.0,1631039,100.0
