Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,11997687,11997687,100.0,0,0.0
2,DPDAT,11997687,11997687,100.0,0,0.0
3,EXTERNALREFERENCEID,11997687,11997687,100.0,0,0.0
4,EXTERNALSYSTEM,11997687,11997687,100.0,0,0.0
5,INCO3_L,11997687,11997687,100.0,0,0.0
6,INCO2_L,11997687,11997687,100.0,0,0.0
7,INCOV,11997687,11997687,100.0,0,0.0
8,SHIPCOND,11997687,11997687,100.0,0,0.0
9,HANDOVERLOC,11997687,11997687,100.0,0,0.0
10,VSART,11997687,11997687,100.0,0,0.0
11,RELEASE_DATE,11997687,11997687,100.0,0,0.0
12,DESCRIPTION,11997687,11997687,100.0,0,0.0
13,LEGAL_CONTRACT,11997687,11997687,100.0,0,0.0
14,THRESHOLD_EXISTS,11997687,11997687,100.0,0,0.0
15,HIERARCHY_EXISTS,11997687,11997687,100.0,0,0.0
16,MSR_ID,11997687,11997687,100.0,0,0.0
17,DPAMT,11997687,11997687,100.0,0,0.0
18,STCEG_L,11997687,11997687,100.0,0,0.0
19,DPPCT,11997687,11997687,100.0,0,0.0
20,DPTYP,11997687,11997687,100.0,0,0.0
21,RETPC,11997687,11997687,100.0,0,0.0
22,RETTP,11997687,11997687,100.0,0,0.0
23,MEMORYTYPE,11997687,11997687,100.0,0,0.0
24,REASON_CODE,11997687,11997687,100.0,0,0.0
25,SCMPROC,11997687,11997687,100.0,0,0.0
26,REVNO,11997687,11997687,100.0,0,0.0
27,RLWRT,11997687,11997687,100.0,0,0.0
28,PROCSTAT,11997687,11997687,100.0,0,0.0
29,MEMORY,11997687,11997687,100.0,0,0.0
30,KORNR,11997687,11997687,100.0,0,0.0
31,ADDNR,11997687,11997687,100.0,0,0.0
32,ABSGR,11997687,11997687,100.0,0,0.0
33,EXT_REV_TMSTMP,11997687,11997687,100.0,0,0.0
34,FORCE_ID,11997687,11997687,100.0,0,0.0
35,FORCE_CNT,11997687,11997687,100.0,0,0.0
36,RELOC_ID,11997687,11997687,100.0,0,0.0
37,CON_DISTR_LEV,11997687,11997687,100.0,0,0.0
38,CON_PREBOOK_LEV,11997687,11997687,100.0,0,0.0
39,CON_OTB_REQ,11997687,11997687,100.0,0,0.0
40,CHECK_TYPE,11997687,11997687,100.0,0,0.0
41,OTB_REASON,11997687,11997687,100.0,0,0.0
42,OTB_STATUS,11997687,11997687,100.0,0,0.0
43,BUDG_TYPE,11997687,11997687,100.0,0,0.0
44,SPR_RSN_PROFILE,11997687,11997687,100.0,0,0.0
45,OTB_SPEC_VALUE,11997687,11997687,100.0,0,0.0
46,OTB_RES_VALUE,11997687,11997687,100.0,0,0.0
47,OTB_CURR,11997687,11997687,100.0,0,0.0
48,OTB_VALUE,11997687,11997687,100.0,0,0.0
49,KEY_ID,11997687,11997687,100.0,0,0.0
50,OTB_COND_TYPE,11997687,11997687,100.0,0,0.0
51,OTB_LEVEL,11997687,11997687,100.0,0,0.0
52,EINDT_ALLOW,11997687,11997687,100.0,0,0.0
53,DELPER_ALLOW,11997687,11997687,100.0,0,0.0
54,AUREL_ALLOW,11997687,11997687,100.0,0,0.0
55,KEY_ID_ALLOW,11997687,11997687,100.0,0,0.0
56,FIXPO_ALLOW,11997687,11997687,100.0,0,0.0
57,PSTYP_ALLOW,11997687,11997687,100.0,0,0.0
58,CONTRACT_ALLOW,11997687,11997687,100.0,0,0.0
59,WERKS_ALLOW,11997687,11997687,100.0,0,0.0
60,EKGRP_ALLOW,11997687,11997687,100.0,0,0.0
61,FIXPO,11997687,11997687,100.0,0,0.0
62,EQ_WERKS,11997687,11997687,100.0,0,0.0
63,EQ_EINDT,11997687,11997687,100.0,0,0.0
64,POHF_TYPE,11997687,11997687,100.0,0,0.0
65,RELOC_SEQ_ID,11997687,11997687,100.0,0,0.0
66,STCEG,11997687,11997687,100.0,0,0.0
67,ADRNR,11997687,11997687,100.0,0,0.0
68,EBELN,11997687,11997687,100.0,0,0.0
69,ZBD3T,11997687,11997687,100.0,0,0.0
70,GWLDT,11997687,11997687,100.0,0,0.0
71,BNDDT,11997687,11997687,100.0,0,0.0
72,ANGDT,11997687,11997687,100.0,0,0.0
73,BWBDT,11997687,11997687,100.0,0,0.0
74,KDATE,11997687,11997687,100.0,0,0.0
75,KDATB,11997687,11997687,100.0,0,0.0
76,BEDAT,11997687,11997687,100.0,0,0.0
77,KUFIX,11997687,11997687,100.0,0,0.0
78,WKURS,11997687,11997687,100.0,0,0.0
79,WAERS,11997687,11997687,100.0,0,0.0
80,EKGRP,11997687,11997687,100.0,0,0.0
81,EKORG,11997687,11997687,100.0,0,0.0
82,ZBD2P,11997687,11997687,100.0,0,0.0
83,ZBD1P,11997687,11997687,100.0,0,0.0
84,ZBD2T,11997687,11997687,100.0,0,0.0
85,LPHIS,11997687,11997687,100.0,0,0.0
86,ZBD1T,11997687,11997687,100.0,0,0.0
87,ZTERM,11997687,11997687,100.0,0,0.0
88,SPRAS,11997687,11997687,100.0,0,0.0
89,LIFNR,11997687,11997687,100.0,0,0.0
90,LPONR,11997687,11997687,100.0,0,0.0
91,PINCR,11997687,11997687,100.0,0,0.0
92,ERNAM,11997687,11997687,100.0,0,0.0
93,AEDAT,11997687,11997687,100.0,0,0.0
94,STATU,11997687,11997687,100.0,0,0.0
95,LOEKZ,11997687,11997687,100.0,0,0.0
96,BSAKZ,11997687,11997687,100.0,0,0.0
97,BSART,11997687,11997687,100.0,0,0.0
98,BSTYP,11997687,11997687,100.0,0,0.0
99,BUKRS,11997687,11997687,100.0,0,0.0
100,AUSNR,11997687,11997687,100.0,0,0.0
101,ANGNR,11997687,11997687,100.0,0,0.0
102,IHRAN,11997687,11997687,100.0,0,0.0
103,IHREZ,11997687,11997687,100.0,0,0.0
104,LANDS,11997687,11997687,100.0,0,0.0
105,FRGRL,11997687,11997687,100.0,0,0.0
106,FRGZU,11997687,11997687,100.0,0,0.0
107,FRGKE,11997687,11997687,100.0,0,0.0
108,FRGSX,11997687,11997687,100.0,0,0.0
109,FRGGR,11997687,11997687,100.0,0,0.0
110,STAKO,11997687,11997687,100.0,0,0.0
111,UPINC,11997687,11997687,100.0,0,0.0
112,LOGSY,11997687,11997687,100.0,0,0.0
113,UNSEZ,11997687,11997687,100.0,0,0.0
114,EXNUM,11997687,11997687,100.0,0,0.0
115,LIFRE,11997687,11997687,100.0,0,0.0
116,STAFO,11997687,11997687,100.0,0,0.0
117,KALSM,11997687,11997687,100.0,0,0.0
118,KNUMV,11997687,11997687,100.0,0,0.0
119,SUBMI,11997687,11997687,100.0,0,0.0
120,KTWRT,11997687,11997687,100.0,0,0.0
121,INCO2,11997687,11997687,100.0,0,0.0
122,INCO1,11997687,11997687,100.0,0,0.0
123,LBLIF,11997687,11997687,100.0,0,0.0
124,RESWK,11997687,11997687,100.0,0,0.0
125,WEAKT,11997687,11997687,100.0,0,0.0
126,AUTLF,11997687,11997687,100.0,0,0.0
127,ABGRU,11997687,11997687,100.0,0,0.0
128,KONNR,11997687,11997687,100.0,0,0.0
129,KUNNR,11997687,11997687,100.0,0,0.0
130,LLIEF,11997687,11997687,100.0,0,0.0
131,TELF1,11997687,11997687,100.0,0,0.0
