Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,EBELN,439706,439706,100.0,0,0.0
2,EKGRP,439706,439706,100.0,0,0.0
3,WKURS,439706,439706,100.0,0,0.0
4,BEDAT,439706,439706,100.0,0,0.0
5,LLIEF,439531,439706,100.0,175,0.0
6,MANDT,439706,439706,100.0,0,0.0
7,KTWRT,439706,439706,100.0,0,0.0
8,KNUMV,439531,439706,100.0,175,0.0
9,KALSM,439537,439706,100.0,169,0.0
10,STAFO,439706,439706,100.0,0,0.0
11,UPINC,439706,439706,100.0,0,0.0
12,LANDS,439706,439706,100.0,0,0.0
13,ABSGR,439706,439706,100.0,0,0.0
14,PROCSTAT,439706,439706,100.0,0,0.0
15,RLWRT,439706,439706,100.0,0,0.0
16,RUN_INTERFACE_ID,439706,439706,100.0,0,0.0
17,CHNGIND,439706,439706,100.0,0,0.0
18,UTIME,439706,439706,100.0,0,0.0
19,DELTA,439706,439706,100.0,0,0.0
20,WAERS,439706,439706,100.0,0,0.0
21,ADLS_LOADED_DATE,439706,439706,100.0,0,0.0
22,EKORG,439706,439706,100.0,0,0.0
23,ZBD2T,439706,439706,100.0,0,0.0
24,BUKRS,439706,439706,100.0,0,0.0
25,BSTYP,439706,439706,100.0,0,0.0
26,BSART,439706,439706,100.0,0,0.0
27,STATU,439704,439706,100.0,2,0.0
28,AEDAT,439706,439706,100.0,0,0.0
29,ERNAM,439706,439706,100.0,0,0.0
30,PINCR,439706,439706,100.0,0,0.0
31,LPONR,439706,439706,100.0,0,0.0
32,ZBD2P,439706,439706,100.0,0,0.0
33,SPRAS,439706,439706,100.0,0,0.0
34,ZTERM,439538,439706,100.0,168,0.0
35,ZBD1T,439706,439706,100.0,0,0.0
36,LIFNR,439541,439706,100.0,165,0.0
37,ZBD1P,439706,439706,100.0,0,0.0
38,ZBD3T,439706,439706,100.0,0,0.0
39,LIFRE,439442,439706,99.9,264,0.1
40,INCO1,433549,439706,98.6,6157,1.4
41,INCO2,433467,439706,98.6,6239,1.4
42,STCEG_L,65087,439706,14.8,374619,85.2
43,STCEG,62198,439706,14.1,377508,85.9
44,EXNUM,41002,439706,9.3,398704,90.7
45,SUBMI,25255,439706,5.7,414451,94.3
46,VERKF,5047,439706,1.1,434659,98.9
47,TELF1,4220,439706,1.0,435486,99.0
48,IHREZ,1564,439706,0.4,438142,99.6
49,FRGSX,1311,439706,0.3,438395,99.7
50,FRGKE,1348,439706,0.3,438358,99.7
51,FRGZU,1311,439706,0.3,438395,99.7
52,FRGGR,1311,439706,0.3,438395,99.7
53,UNSEZ,789,439706,0.2,438917,99.8
54,ADRNR,853,439706,0.2,438853,99.8
55,KDATE,0,439706,0.0,439706,100.0
56,ADDNR,0,439706,0.0,439706,100.0
57,LPHIS,0,439706,0.0,439706,100.0
58,MEMORY,0,439706,0.0,439706,100.0
59,KDATB,0,439706,0.0,439706,100.0
60,LOEKZ,0,439706,0.0,439706,100.0
61,REVNO,0,439706,0.0,439706,100.0
62,BSAKZ,169,439706,0.0,439537,100.0
63,KUFIX,1,439706,0.0,439705,100.0
64,KORNR,0,439706,0.0,439706,100.0
65,STAKO,0,439706,0.0,439706,100.0
66,BWBDT,0,439706,0.0,439706,100.0
67,FRGRL,1,439706,0.0,439705,100.0
68,ANGDT,0,439706,0.0,439706,100.0
69,LOGSY,0,439706,0.0,439706,100.0
70,BNDDT,0,439706,0.0,439706,100.0
71,GWLDT,0,439706,0.0,439706,100.0
72,AUSNR,0,439706,0.0,439706,100.0
73,ANGNR,0,439706,0.0,439706,100.0
74,LBLIF,0,439706,0.0,439706,100.0
75,RESWK,178,439706,0.0,439528,100.0
76,WEAKT,2,439706,0.0,439704,100.0
77,AUTLF,0,439706,0.0,439706,100.0
78,ABGRU,0,439706,0.0,439706,100.0
79,IHRAN,0,439706,0.0,439706,100.0
80,KUNNR,0,439706,0.0,439706,100.0
81,KONNR,0,439706,0.0,439706,100.0
