Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,8393908,8393908,100.0,0,0.0
2,ebeln,8393908,8393908,100.0,0,0.0
3,vsart,8393908,8393908,100.0,0,0.0
4,spe_ext_id_item,8393908,8393908,100.0,0,0.0
5,spe_ext_id,8393908,8393908,100.0,0,0.0
6,spe_follow_up,8393908,8393908,100.0,0,0.0
7,spe_inspout_guid,8393908,8393908,100.0,0,0.0
8,spe_src_exidv,8393908,8393908,100.0,0,0.0
9,spe_src_dlv_no,8393908,8393908,100.0,0,0.0
10,spe_auth_number,8393908,8393908,100.0,0,0.0
11,tzonis,8393908,8393908,100.0,0,0.0
12,kzazu,8393908,8393908,100.0,0,0.0
13,ablad,8393908,8393908,100.0,0,0.0
14,tragr,8393908,8393908,100.0,0,0.0
15,ladgr,8393908,8393908,100.0,0,0.0
16,vsbed,8393908,8393908,100.0,0,0.0
17,spras,8393908,8393908,100.0,0,0.0
18,plifz,8393908,8393908,100.0,0,0.0
19,ledat,8393908,8393908,100.0,0,0.0
20,spart,8393908,8393908,100.0,0,0.0
21,vtweg,8393908,8393908,100.0,0,0.0
22,vkorg,8393908,8393908,100.0,0,0.0
23,spdnr,8393908,8393908,100.0,0,0.0
24,kunag,8393908,8393908,100.0,0,0.0
25,kunnr,8393908,8393908,100.0,0,0.0
26,route,8393908,8393908,100.0,0,0.0
27,lprio,8393908,8393908,100.0,0,0.0
28,vstel,8393908,8393908,100.0,0,0.0
29,ebelp,8393908,8393908,100.0,0,0.0
30,src_commit_time,8393908,8393908,100.0,0,0.0
