Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,14814989,14814989,100.0,0,0.0
2,TAX_PER_ITEM,14814989,14814989,100.0,0,0.0
3,DOC_NUMBER,14814989,14814989,100.0,0,0.0
4,CURRENCY,14814989,14814989,100.0,0,0.0
5,CURR_DEC,14814989,14814989,100.0,0,0.0
6,TXJCD_L1,14814989,14814989,100.0,0,0.0
7,TXJCD_L2,14814989,14814989,100.0,0,0.0
8,TXJCD_L3,14814989,14814989,100.0,0,0.0
9,TXJCD_L4,14814989,14814989,100.0,0,0.0
10,NR_LINE_ITEMS,14814989,14814989,100.0,0,0.0
11,CLIENT,14814989,14814989,100.0,0,0.0
12,GL_CURRENCY,14814989,14814989,100.0,0,0.0
13,GL_CURR_DEC,14814989,14814989,100.0,0,0.0
14,REP_DATE,14814989,14814989,100.0,0,0.0
15,RATEDEC,14814989,14814989,100.0,0,0.0
16,XEXTN,14814989,14814989,100.0,0,0.0
17,INTERF_VERSION,14814989,14814989,100.0,0,0.0
18,TAX_PROCEDURE,14814989,14814989,100.0,0,0.0
19,COMP_CODE,14814989,14814989,100.0,0,0.0
20,SYST_NAME,14814989,14814989,100.0,0,0.0
21,DOCNR,14814989,14814989,100.0,0,0.0
22,CREATEDBY,14814989,14814989,100.0,0,0.0
23,AWTYP,14814989,14814989,100.0,0,0.0
24,AWREF,14814989,14814989,100.0,0,0.0
25,AWORG,14814989,14814989,100.0,0,0.0
26,AWSYS,14814989,14814989,100.0,0,0.0
27,DOCSTATUS,14814989,14814989,100.0,0,0.0
28,DOCSTATUSCHANGED,14814989,14814989,100.0,0,0.0
29,CREATEDON,14814989,14814989,100.0,0,0.0
30,TID,14814989,14814989,100.0,0,0.0
31,USNAM,14814989,14814989,100.0,0,0.0
32,GLTAX,14814989,14814989,100.0,0,0.0
33,TXDEF,14814989,14814989,100.0,0,0.0
34,DEFAULT_REASON,14814989,14814989,100.0,0,0.0
35,INCON,14814989,14814989,100.0,0,0.0
36,EXCON,14814989,14814989,100.0,0,0.0
37,UFLAG,14814989,14814989,100.0,0,0.0
38,UDATE,14814989,14814989,100.0,0,0.0
39,src_commit_time,14814989,14814989,100.0,0,0.0
