Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,27822857,27822857,100.0,0,0.0
2,/VERTEX/USRTEXT24,27822857,27822857,100.0,0,0.0
3,/VERTEX/USRTEXT15,27822857,27822857,100.0,0,0.0
4,/VERTEX/USRTEXT16,27822857,27822857,100.0,0,0.0
5,/VERTEX/USRTEXT17,27822857,27822857,100.0,0,0.0
6,/VERTEX/USRTEXT18,27822857,27822857,100.0,0,0.0
7,/VERTEX/USRTEXT19,27822857,27822857,100.0,0,0.0
8,/VERTEX/USRTEXT20,27822857,27822857,100.0,0,0.0
9,/VERTEX/USRTEXT21,27822857,27822857,100.0,0,0.0
10,/VERTEX/USRTEXT22,27822857,27822857,100.0,0,0.0
11,/VERTEX/USRTEXT23,27822857,27822857,100.0,0,0.0
12,/VERTEX/USRTEXT25,27822857,27822857,100.0,0,0.0
13,/VERTEX/SUR_CODE3,27822857,27822857,100.0,0,0.0
14,/VERTEX/FRC_TXLVL_1,27822857,27822857,100.0,0,0.0
15,/VERTEX/FRC_TXLVL_2,27822857,27822857,100.0,0,0.0
16,/VERTEX/FRC_TXLVL_3,27822857,27822857,100.0,0,0.0
17,/VERTEX/FRC_TXLVL_4,27822857,27822857,100.0,0,0.0
18,/VERTEX/FRC_TXLVL_5,27822857,27822857,100.0,0,0.0
19,/VERTEX/FRC_TXLVL_6,27822857,27822857,100.0,0,0.0
20,/VERTEX/SUR_CODE1,27822857,27822857,100.0,0,0.0
21,/VERTEX/SUR_AMT1,27822857,27822857,100.0,0,0.0
22,/VERTEX/SUR_CODE2,27822857,27822857,100.0,0,0.0
23,/VERTEX/USRTEXT14,27822857,27822857,100.0,0,0.0
24,/VERTEX/USRTEXT13,27822857,27822857,100.0,0,0.0
25,/VERTEX/USRTEXT12,27822857,27822857,100.0,0,0.0
26,/VERTEX/USRTEXT11,27822857,27822857,100.0,0,0.0
27,/VERTEX/INP_IN_TAX_ST,27822857,27822857,100.0,0,0.0
28,/VERTEX/ACCIND,27822857,27822857,100.0,0,0.0
29,/VERTEX/NO_POST,27822857,27822857,100.0,0,0.0
30,/VERTEX/DCI,27822857,27822857,100.0,0,0.0
31,/VERTEX/DCTAXBASE,27822857,27822857,100.0,0,0.0
32,/VERTEX/DCTAXAMT,27822857,27822857,100.0,0,0.0
33,/VERTEX/DOC_CURR_DEC,27822857,27822857,100.0,0,0.0
34,/VERTEX/USERDATE2,27822857,27822857,100.0,0,0.0
35,/VERTEX/USERDATE3,27822857,27822857,100.0,0,0.0
36,/VERTEX/USERDATE4,27822857,27822857,100.0,0,0.0
37,/VERTEX/USERDATE5,27822857,27822857,100.0,0,0.0
38,/VERTEX/USRNUMBR3,27822857,27822857,100.0,0,0.0
39,/VERTEX/USRNUMBR4,27822857,27822857,100.0,0,0.0
40,/VERTEX/USRNUMBR5,27822857,27822857,100.0,0,0.0
41,/VERTEX/USRNUMBR6,27822857,27822857,100.0,0,0.0
42,/VERTEX/USRNUMBR7,27822857,27822857,100.0,0,0.0
43,/VERTEX/USRNUMBR8,27822857,27822857,100.0,0,0.0
44,/VERTEX/USRTEXT9,27822857,27822857,100.0,0,0.0
45,/VERTEX/USRTEXT10,27822857,27822857,100.0,0,0.0
46,/VERTEX/SUR_AMT2,27822857,27822857,100.0,0,0.0
47,/VERTEX/SUR_AMT3,27822857,27822857,100.0,0,0.0
48,DOCNR,27822857,27822857,100.0,0,0.0
49,/VERTEX/TAXTEXT1,27822857,27822857,100.0,0,0.0
50,/VERTEX/INVCTXT2,27822857,27822857,100.0,0,0.0
51,/VERTEX/INVCTXT3,27822857,27822857,100.0,0,0.0
52,/VERTEX/INVCTXT4,27822857,27822857,100.0,0,0.0
53,/VERTEX/REGBUYER,27822857,27822857,100.0,0,0.0
54,/VERTEX/REGSELLR,27822857,27822857,100.0,0,0.0
55,/VERTEX/TAXCODE1,27822857,27822857,100.0,0,0.0
56,/VERTEX/TAXCODE2,27822857,27822857,100.0,0,0.0
57,/VERTEX/TAXCODE3,27822857,27822857,100.0,0,0.0
58,/VERTEX/TAXCODE4,27822857,27822857,100.0,0,0.0
59,/VERTEX/V_CTAXCODE1,27822857,27822857,100.0,0,0.0
60,/VERTEX/SUR_CODE4,27822857,27822857,100.0,0,0.0
61,/VERTEX/V_TAXCODE1,27822857,27822857,100.0,0,0.0
62,/VERTEX/V_TAXCODE2,27822857,27822857,100.0,0,0.0
63,/VERTEX/V_TAXCODE3,27822857,27822857,100.0,0,0.0
64,/VERTEX/V_TAXCODE4,27822857,27822857,100.0,0,0.0
65,/VERTEX/ITEM_NO,27822857,27822857,100.0,0,0.0
66,/VERTEX/TAXCODE_NOT,27822857,27822857,100.0,0,0.0
67,/VERTEX/V_TAXCODE_NOT,27822857,27822857,100.0,0,0.0
68,REP_DATE,27822857,27822857,100.0,0,0.0
69,CREDIT_IND,27822857,27822857,100.0,0,0.0
70,/VERTEX/INVCTXT1,27822857,27822857,100.0,0,0.0
71,/VERTEX/JUR_NAME1,27822857,27822857,100.0,0,0.0
72,/VERTEX/FILETXAMT1,27822857,27822857,100.0,0,0.0
73,/VERTEX/FILECURR1,27822857,27822857,100.0,0,0.0
74,/VERTEX/SUR_AMT4,27822857,27822857,100.0,0,0.0
75,/VERTEX/SUR_CODE5,27822857,27822857,100.0,0,0.0
76,/VERTEX/SUR_AMT5,27822857,27822857,100.0,0,0.0
77,/VERTEX/LOGID,27822857,27822857,100.0,0,0.0
78,/VERTEX/COMP_OVR,27822857,27822857,100.0,0,0.0
79,/VERTEX/DVSN_OVR,27822857,27822857,100.0,0,0.0
80,/VERTEX/DEPT_OVR,27822857,27822857,100.0,0,0.0
81,DEFAULT_REASON,27822857,27822857,100.0,0,0.0
82,TXJCD_IND,27822857,27822857,100.0,0,0.0
83,TAXPCOV,27822857,27822857,100.0,0,0.0
84,TAXAMOV,27822857,27822857,100.0,0,0.0
85,EXMATFLAG,27822857,27822857,100.0,0,0.0
86,EXCUSFLG,27822857,27822857,100.0,0,0.0
87,EXT_EXCERTIF,27822857,27822857,100.0,0,0.0
88,EXT_EXREASON,27822857,27822857,100.0,0,0.0
89,GL_TAXPCOV,27822857,27822857,100.0,0,0.0
90,GL_TAXAMOV,27822857,27822857,100.0,0,0.0
91,/VERTEX/FILEBASE1,27822857,27822857,100.0,0,0.0
