Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,148448307,148448307,100.0,0,0.0
2,DOCNR,148448307,148448307,100.0,0,0.0
3,ITEMNR,148448307,148448307,100.0,0,0.0
4,TXJLV,148448307,148448307,100.0,0,0.0
5,TAXPCT,148448307,148448307,100.0,0,0.0
6,TAXAMT,148448307,148448307,100.0,0,0.0
7,TAXBAS,148448307,148448307,100.0,0,0.0
8,EXAMT,148448307,148448307,100.0,0,0.0
9,EXCODE,148448307,148448307,100.0,0,0.0
10,GL_TAXPCT,148448307,148448307,100.0,0,0.0
11,GL_TAXAMT,148448307,148448307,100.0,0,0.0
12,GL_TAXBAS,148448307,148448307,100.0,0,0.0
13,GL_SHKZG,148448307,148448307,100.0,0,0.0
14,HKONT,148448307,148448307,100.0,0,0.0
15,src_commit_time,148448307,148448307,100.0,0,0.0
