Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,7589923,7589923,100.0,0,0.0
2,FPLNR,7589923,7589923,100.0,0,0.0
3,TNDAR,7589923,7589923,100.0,0,0.0
4,AUFPL,7589923,7589923,100.0,0,0.0
5,APLZL,7589923,7589923,100.0,0,0.0
6,RSNUM,7589923,7589923,100.0,0,0.0
7,RSPOS,7589923,7589923,100.0,0,0.0
8,EBELN,7589923,7589923,100.0,0,0.0
9,FPLTU,7589923,7589923,100.0,0,0.0
10,AUST1,7589923,7589923,100.0,0,0.0
11,AUST2,7589923,7589923,100.0,0,0.0
12,AUST3,7589923,7589923,100.0,0,0.0
13,AUST4,7589923,7589923,100.0,0,0.0
14,AUST5,7589923,7589923,100.0,0,0.0
15,BASISWRT,7589923,7589923,100.0,0,0.0
16,PSPNR,7589923,7589923,100.0,0,0.0
17,AUTKOR,7589923,7589923,100.0,0,0.0
18,TNDAT,7589923,7589923,100.0,0,0.0
19,FAKCA,7589923,7589923,100.0,0,0.0
20,PERAF,7589923,7589923,100.0,0,0.0
21,VBELN,7589923,7589923,100.0,0,0.0
22,FPTYP,7589923,7589923,100.0,0,0.0
23,FPART,7589923,7589923,100.0,0,0.0
24,SORTL,7589923,7589923,100.0,0,0.0
25,BEDAT,7589923,7589923,100.0,0,0.0
26,ENDAT,7589923,7589923,100.0,0,0.0
27,HORIZ,7589923,7589923,100.0,0,0.0
28,BEDAR,7589923,7589923,100.0,0,0.0
29,LODAR,7589923,7589923,100.0,0,0.0
30,ENDAR,7589923,7589923,100.0,0,0.0
31,PERIO,7589923,7589923,100.0,0,0.0
32,FPLAE,7589923,7589923,100.0,0,0.0
33,RFPLN,7589923,7589923,100.0,0,0.0
34,LODAT,7589923,7589923,100.0,0,0.0
35,AUTTE,7589923,7589923,100.0,0,0.0
36,src_commit_time,7589923,7589923,100.0,0,0.0
