Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,RCLNT,2145276,2145276,100.0,0,0.0
2,RLDNR,2145276,2145276,100.0,0,0.0
3,HSL06,2145276,2145276,100.0,0,0.0
4,HSL07,2145276,2145276,100.0,0,0.0
5,HSL08,2145276,2145276,100.0,0,0.0
6,HSL09,2145276,2145276,100.0,0,0.0
7,HSL10,2145276,2145276,100.0,0,0.0
8,HSL11,2145276,2145276,100.0,0,0.0
9,HSL12,2145276,2145276,100.0,0,0.0
10,HSL13,2145276,2145276,100.0,0,0.0
11,HSL14,2145276,2145276,100.0,0,0.0
12,HSL15,2145276,2145276,100.0,0,0.0
13,HSL16,2145276,2145276,100.0,0,0.0
14,CSPRED,2145276,2145276,100.0,0,0.0
15,KSLVT,2145276,2145276,100.0,0,0.0
16,KSL01,2145276,2145276,100.0,0,0.0
17,KSL02,2145276,2145276,100.0,0,0.0
18,KSL03,2145276,2145276,100.0,0,0.0
19,KSL04,2145276,2145276,100.0,0,0.0
20,KSL05,2145276,2145276,100.0,0,0.0
21,KSL06,2145276,2145276,100.0,0,0.0
22,KSL07,2145276,2145276,100.0,0,0.0
23,KSL08,2145276,2145276,100.0,0,0.0
24,KSL09,2145276,2145276,100.0,0,0.0
25,KSL10,2145276,2145276,100.0,0,0.0
26,KSL11,2145276,2145276,100.0,0,0.0
27,KSL12,2145276,2145276,100.0,0,0.0
28,KSL13,2145276,2145276,100.0,0,0.0
29,KSL14,2145276,2145276,100.0,0,0.0
30,KSL15,2145276,2145276,100.0,0,0.0
31,KSL16,2145276,2145276,100.0,0,0.0
32,HSL05,2145276,2145276,100.0,0,0.0
33,HSL04,2145276,2145276,100.0,0,0.0
34,HSL03,2145276,2145276,100.0,0,0.0
35,TSL04,2145276,2145276,100.0,0,0.0
36,RRCTY,2145276,2145276,100.0,0,0.0
37,RVERS,2145276,2145276,100.0,0,0.0
38,BUKRS,2145276,2145276,100.0,0,0.0
39,RYEAR,2145276,2145276,100.0,0,0.0
40,RACCT,2145276,2145276,100.0,0,0.0
41,RBUSA,2145276,2145276,100.0,0,0.0
42,RTCUR,2145276,2145276,100.0,0,0.0
43,DRCRK,2145276,2145276,100.0,0,0.0
44,RPMAX,2145276,2145276,100.0,0,0.0
45,TSLVT,2145276,2145276,100.0,0,0.0
46,TSL01,2145276,2145276,100.0,0,0.0
47,TSL02,2145276,2145276,100.0,0,0.0
48,TSL03,2145276,2145276,100.0,0,0.0
49,TSL05,2145276,2145276,100.0,0,0.0
50,HSL02,2145276,2145276,100.0,0,0.0
51,TSL06,2145276,2145276,100.0,0,0.0
52,TSL07,2145276,2145276,100.0,0,0.0
53,TSL08,2145276,2145276,100.0,0,0.0
54,TSL09,2145276,2145276,100.0,0,0.0
55,TSL10,2145276,2145276,100.0,0,0.0
56,TSL11,2145276,2145276,100.0,0,0.0
57,TSL12,2145276,2145276,100.0,0,0.0
58,TSL13,2145276,2145276,100.0,0,0.0
59,TSL14,2145276,2145276,100.0,0,0.0
60,TSL15,2145276,2145276,100.0,0,0.0
61,TSL16,2145276,2145276,100.0,0,0.0
62,HSLVT,2145276,2145276,100.0,0,0.0
63,HSL01,2145276,2145276,100.0,0,0.0
64,src_commit_time,2145276,2145276,100.0,0,0.0
