Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,99039,99039,100.0,0,0.0
2,UNAME,99039,99039,100.0,0,0.0
3,MC_SEARK,99039,99039,100.0,0,0.0
4,MC_STEXT,99039,99039,100.0,0,0.0
5,MC_SHORT,99039,99039,100.0,0,0.0
6,GDATE,99039,99039,100.0,0,0.0
7,STEXT,99039,99039,100.0,0,0.0
8,SHORT,99039,99039,100.0,0,0.0
9,ITXNR,99039,99039,100.0,0,0.0
10,HISTO,99039,99039,100.0,0,0.0
11,REASN,99039,99039,100.0,0,0.0
12,AEDTM,99039,99039,100.0,0,0.0
13,PLVAR,99039,99039,100.0,0,0.0
14,INFTY,99039,99039,100.0,0,0.0
15,OTJID,99039,99039,100.0,0,0.0
16,SEQNR,99039,99039,100.0,0,0.0
17,LANGU,99039,99039,100.0,0,0.0
18,ENDDA,99039,99039,100.0,0,0.0
19,BEGDA,99039,99039,100.0,0,0.0
20,ISTAT,99039,99039,100.0,0,0.0
21,OBJID,99039,99039,100.0,0,0.0
22,OTYPE,99039,99039,100.0,0,0.0
23,src_commit_time,99039,99039,100.0,0,0.0
