Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,21596830,21596830,100.0,0,0.0
2,IN_RECNO,21596830,21596830,100.0,0,0.0
3,IN_GUID,21596830,21596830,100.0,0,0.0
4,UPTIM,21596830,21596830,100.0,0,0.0
5,UPNAM,21596830,21596830,100.0,0,0.0
6,CRTIM,21596830,21596830,100.0,0,0.0
7,CRNAM,21596830,21596830,100.0,0,0.0
8,KLART,21596830,21596830,100.0,0,0.0
9,ATAUT,21596830,21596830,100.0,0,0.0
10,MAT_VARIANT,21596830,21596830,100.0,0,0.0
11,EXPERT,21596830,21596830,100.0,0,0.0
12,CUCOCNT,21596830,21596830,100.0,0,0.0
13,CSTATUS,21596830,21596830,100.0,0,0.0
14,VOID,21596830,21596830,100.0,0,0.0
15,OBJECTTYP,21596830,21596830,100.0,0,0.0
16,IN_OBJNR,21596830,21596830,100.0,0,0.0
17,TECHS,21596830,21596830,100.0,0,0.0
18,DATUV,21596830,21596830,100.0,0,0.0
19,UNIT,21596830,21596830,100.0,0,0.0
20,AMOUNT,21596830,21596830,100.0,0,0.0
21,IBASE,21596830,21596830,100.0,0,0.0
22,OBJNR,21596830,21596830,100.0,0,0.0
23,SORTF,21596830,21596830,100.0,0,0.0
24,MLANG,21596830,21596830,100.0,0,0.0
25,INSTANCE,21596830,21596830,100.0,0,0.0
26,DELFLAG,21596830,21596830,100.0,0,0.0
27,AENNR,21596830,21596830,100.0,0,0.0
28,VALTO,21596830,21596830,100.0,0,0.0
29,VALFR,21596830,21596830,100.0,0,0.0
30,src_commit_time,21596830,21596830,100.0,0,0.0
