Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,21588190,21588190,100.0,0,0.0
2,UPTIM,21588190,21588190,100.0,0,0.0
3,ATAUT,21588190,21588190,100.0,0,0.0
4,IBASE,21588190,21588190,100.0,0,0.0
5,ROOT,21588190,21588190,100.0,0,0.0
6,PARENT,21588190,21588190,100.0,0,0.0
7,POSNO,21588190,21588190,100.0,0,0.0
8,INSTANCE,21588190,21588190,100.0,0,0.0
9,UPNAM,21588190,21588190,100.0,0,0.0
10,ST_RECNO,21588190,21588190,100.0,0,0.0
11,CRTIM,21588190,21588190,100.0,0,0.0
12,CRNAM,21588190,21588190,100.0,0,0.0
13,DELFLAG,21588190,21588190,100.0,0,0.0
14,AENNR,21588190,21588190,100.0,0,0.0
15,VALTO,21588190,21588190,100.0,0,0.0
16,VALFR,21588190,21588190,100.0,0,0.0
17,src_commit_time,21588190,21588190,100.0,0,0.0
