Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,4226946,4226946,100.0,0,0.0
2,TPLNR,4226946,4226946,100.0,0,0.0
3,RBNR_I,4226946,4226946,100.0,0,0.0
4,ILOAN,4226946,4226946,100.0,0,0.0
5,OBJNR,4226946,4226946,100.0,0,0.0
6,POSNR,4226946,4226946,100.0,0,0.0
7,ISTYP,4226946,4226946,100.0,0,0.0
8,PREMS,4226946,4226946,100.0,0,0.0
9,EQART,4226946,4226946,100.0,0,0.0
10,INVNR,4226946,4226946,100.0,0,0.0
11,GROES,4226946,4226946,100.0,0,0.0
12,BRGEW,4226946,4226946,100.0,0,0.0
13,GEWEI,4226946,4226946,100.0,0,0.0
14,ANSWT,4226946,4226946,100.0,0,0.0
15,WAERS,4226946,4226946,100.0,0,0.0
16,ANSDT,4226946,4226946,100.0,0,0.0
17,HERST,4226946,4226946,100.0,0,0.0
18,HERLD,4226946,4226946,100.0,0,0.0
19,BAUJJ,4226946,4226946,100.0,0,0.0
20,BAUMM,4226946,4226946,100.0,0,0.0
21,TYPBZ,4226946,4226946,100.0,0,0.0
22,EMATN,4226946,4226946,100.0,0,0.0
23,SERGE,4226946,4226946,100.0,0,0.0
24,HANDLE,4226946,4226946,100.0,0,0.0
25,TSEGTP,4226946,4226946,100.0,0,0.0
26,FLLB_DUTY,4226946,4226946,100.0,0,0.0
27,FLLB_HIDE,4226946,4226946,100.0,0,0.0
28,IFLOT_SRTYPE,4226946,4226946,100.0,0,0.0
29,IFLOT_SNTYPE,4226946,4226946,100.0,0,0.0
30,RBNR,4226946,4226946,100.0,0,0.0
31,LGWIDI,4226946,4226946,100.0,0,0.0
32,LGWID,4226946,4226946,100.0,0,0.0
33,STNAM,4226946,4226946,100.0,0,0.0
34,MLANG,4226946,4226946,100.0,0,0.0
35,TPLKZ,4226946,4226946,100.0,0,0.0
36,FLTYP,4226946,4226946,100.0,0,0.0
37,TPLMA,4226946,4226946,100.0,0,0.0
38,ERDAT,4226946,4226946,100.0,0,0.0
39,ERNAM,4226946,4226946,100.0,0,0.0
40,AEDAT,4226946,4226946,100.0,0,0.0
41,AENAM,4226946,4226946,100.0,0,0.0
42,DATAB,4226946,4226946,100.0,0,0.0
43,BEGRU,4226946,4226946,100.0,0,0.0
44,TRPNR,4226946,4226946,100.0,0,0.0
45,PSTAE,4226946,4226946,100.0,0,0.0
46,LVORM,4226946,4226946,100.0,0,0.0
47,PM_OBJTY,4226946,4226946,100.0,0,0.0
48,SUBMT,4226946,4226946,100.0,0,0.0
49,SUBMTI,4226946,4226946,100.0,0,0.0
50,MAPAR,4226946,4226946,100.0,0,0.0
51,MAPARI,4226946,4226946,100.0,0,0.0
52,IEQUI,4226946,4226946,100.0,0,0.0
53,IEQUII,4226946,4226946,100.0,0,0.0
54,EINZL,4226946,4226946,100.0,0,0.0
55,EINZLI,4226946,4226946,100.0,0,0.0
56,IWERK,4226946,4226946,100.0,0,0.0
57,IWERKI,4226946,4226946,100.0,0,0.0
58,INGRP,4226946,4226946,100.0,0,0.0
59,INGRPI,4226946,4226946,100.0,0,0.0
60,src_commit_time,4226946,4226946,100.0,0,0.0
