Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,4042642,4042642,100.0,0,0.0
2,UTRIB,4042642,4042642,100.0,0,0.0
3,VBCFCPSTRET,4042642,4042642,100.0,0,0.0
4,PFCPSTRET,4042642,4042642,100.0,0,0.0
5,VFCPSTRET,4042642,4042642,100.0,0,0.0
6,VBCSTDEST,4042642,4042642,100.0,0,0.0
7,VICMSSTDEST,4042642,4042642,100.0,0,0.0
8,INDESCALA,4042642,4042642,100.0,0,0.0
9,CNPJFAB,4042642,4042642,100.0,0,0.0
10,CBENEF,4042642,4042642,100.0,0,0.0
11,PREDBCEFET,4042642,4042642,100.0,0,0.0
12,VBCEFET,4042642,4042642,100.0,0,0.0
13,PICMSEFET,4042642,4042642,100.0,0,0.0
14,VICMSEFET,4042642,4042642,100.0,0,0.0
15,XPROD,4042642,4042642,100.0,0,0.0
16,TAX_INFO_SOURCE,4042642,4042642,100.0,0,0.0
17,TAX_RATE,4042642,4042642,100.0,0,0.0
18,PST,4042642,4042642,100.0,0,0.0
19,CEAN_TRIB,4042642,4042642,100.0,0,0.0
20,CSELO,4042642,4042642,100.0,0,0.0
21,VIOF,4042642,4042642,100.0,0,0.0
22,CENQ,4042642,4042642,100.0,0,0.0
23,NUM_ITEM,4042642,4042642,100.0,0,0.0
24,IND_MOV,4042642,4042642,100.0,0,0.0
25,COD_CTA,4042642,4042642,100.0,0,0.0
26,NRECOPI,4042642,4042642,100.0,0,0.0
27,INDINCENTIVO,4042642,4042642,100.0,0,0.0
28,VICMSDESON,4042642,4042642,100.0,0,0.0
29,NFICMSDESON,4042642,4042642,100.0,0,0.0
30,VICMSDIF,4042642,4042642,100.0,0,0.0
31,VICMSSTRET,4042642,4042642,100.0,0,0.0
32,VBCSTRET,4042642,4042642,100.0,0,0.0
33,MEINS_TRIB,4042642,4042642,100.0,0,0.0
34,MENGE_TRIB,4042642,4042642,100.0,0,0.0
35,CEST,4042642,4042642,100.0,0,0.0
36,VDESPADU,4042642,4042642,100.0,0,0.0
37,VICMSSUBSTITUTO,4042642,4042642,100.0,0,0.0
38,COD_CTA_PIS,4042642,4042642,100.0,0,0.0
39,COD_CTA_COFINS,4042642,4042642,100.0,0,0.0
40,CBENEF_ISS,4042642,4042642,100.0,0,0.0
41,CBARRA,4042642,4042642,100.0,0,0.0
42,CBARRA_TRIB,4042642,4042642,100.0,0,0.0
43,VICMSSTDESON,4042642,4042642,100.0,0,0.0
44,MOTDESICMSST,4042642,4042642,100.0,0,0.0
45,PDIF,4042642,4042642,100.0,0,0.0
46,VFCPDIF,4042642,4042642,100.0,0,0.0
47,PFCPDEF,4042642,4042642,100.0,0,0.0
48,PFCPDIF,4042642,4042642,100.0,0,0.0
49,COFINSST,4042642,4042642,100.0,0,0.0
50,PISST,4042642,4042642,100.0,0,0.0
51,INDSOMACOFINSST,4042642,4042642,100.0,0,0.0
52,INDSOMAPISST,4042642,4042642,100.0,0,0.0
53,NFCOFINSST,4042642,4042642,100.0,0,0.0
54,NFPISST,4042642,4042642,100.0,0,0.0
55,EXCLUDED_ICMS_FROM_PISCOFINS,4042642,4042642,100.0,0,0.0
56,NAT_BC_CRED,4042642,4042642,100.0,0,0.0
57,NPROCESSO,4042642,4042642,100.0,0,0.0
58,PIPIDEVOL,4042642,4042642,100.0,0,0.0
59,VTOTTRIB,4042642,4042642,100.0,0,0.0
60,STSTCL_VICMSDESON,4042642,4042642,100.0,0,0.0
61,P_MVAST,4042642,4042642,100.0,0,0.0
62,PICMSDEF,4042642,4042642,100.0,0,0.0
63,CPRB,4042642,4042642,100.0,0,0.0
64,REINF_SERVICE_CODE,4042642,4042642,100.0,0,0.0
65,IND_NAT_FRT,4042642,4042642,100.0,0,0.0
66,NFCI,4042642,4042642,100.0,0,0.0
67,SEGMENT,4042642,4042642,100.0,0,0.0
68,KOSTL,4042642,4042642,100.0,0,0.0
69,AUFNR,4042642,4042642,100.0,0,0.0
70,PRCTR,4042642,4042642,100.0,0,0.0
71,PS_PSP_PNR,4042642,4042642,100.0,0,0.0
72,KSTRG,4042642,4042642,100.0,0,0.0
73,NPLNR,4042642,4042642,100.0,0,0.0
74,QSELO,4042642,4042642,100.0,0,0.0
75,CLENQ,4042642,4042642,100.0,0,0.0
76,DOCNUM,4042642,4042642,100.0,0,0.0
77,REFKEY,4042642,4042642,100.0,0,0.0
78,MENGE,4042642,4042642,100.0,0,0.0
79,MEINS,4042642,4042642,100.0,0,0.0
80,NETPR,4042642,4042642,100.0,0,0.0
81,NETWR,4042642,4042642,100.0,0,0.0
82,TAXLW1,4042642,4042642,100.0,0,0.0
83,TAXLW2,4042642,4042642,100.0,0,0.0
84,TMISS,4042642,4042642,100.0,0,0.0
85,NETFRE,4042642,4042642,100.0,0,0.0
86,NETINS,4042642,4042642,100.0,0,0.0
87,NETOTH,4042642,4042642,100.0,0,0.0
88,INDUS3,4042642,4042642,100.0,0,0.0
89,ITMTYP,4042642,4042642,100.0,0,0.0
90,NETDIS,4042642,4042642,100.0,0,0.0
91,SPCSTO,4042642,4042642,100.0,0,0.0
92,INCLTX,4042642,4042642,100.0,0,0.0
93,REFITM,4042642,4042642,100.0,0,0.0
94,REFTYP,4042642,4042642,100.0,0,0.0
95,MOTDESICMS,4042642,4042642,100.0,0,0.0
96,MATUSE,4042642,4042642,100.0,0,0.0
97,ITMNUM,4042642,4042642,100.0,0,0.0
98,MATNR,4042642,4042642,100.0,0,0.0
99,BWKEY,4042642,4042642,100.0,0,0.0
100,BWTAR,4042642,4042642,100.0,0,0.0
101,CHARG,4042642,4042642,100.0,0,0.0
102,MATKL,4042642,4042642,100.0,0,0.0
103,MAKTX,4042642,4042642,100.0,0,0.0
104,DOCREF,4042642,4042642,100.0,0,0.0
105,ITMREF,4042642,4042642,100.0,0,0.0
106,CFOP,4042642,4042642,100.0,0,0.0
107,NBM,4042642,4042642,100.0,0,0.0
108,MATORG,4042642,4042642,100.0,0,0.0
109,TAXSIT,4042642,4042642,100.0,0,0.0
110,TAXSI2,4042642,4042642,100.0,0,0.0
111,OWNPRO,4042642,4042642,100.0,0,0.0
112,STATIT,4042642,4042642,100.0,0,0.0
113,WERKS,4042642,4042642,100.0,0,0.0
114,DIRECT,4042642,4042642,100.0,0,0.0
115,DSTCAT,4042642,4042642,100.0,0,0.0
116,SRVNR,4042642,4042642,100.0,0,0.0
117,TAXSI3,4042642,4042642,100.0,0,0.0
118,TAXLW4,4042642,4042642,100.0,0,0.0
119,TAXSI4,4042642,4042642,100.0,0,0.0
120,TAXLW5,4042642,4042642,100.0,0,0.0
121,TAXSI5,4042642,4042642,100.0,0,0.0
122,REFTYP_PREV,4042642,4042642,100.0,0,0.0
123,REFKEY_PREV,4042642,4042642,100.0,0,0.0
124,REFITM_PREV,4042642,4042642,100.0,0,0.0
125,NBS,4042642,4042642,100.0,0,0.0
126,CEAN,4042642,4042642,100.0,0,0.0
127,XPED,4042642,4042642,100.0,0,0.0
128,NITEMPED,4042642,4042642,100.0,0,0.0
129,MODBC,4042642,4042642,100.0,0,0.0
130,MODBCST,4042642,4042642,100.0,0,0.0
131,TAXLW3,4042642,4042642,100.0,0,0.0
132,SUBTVALP,4042642,4042642,100.0,0,0.0
133,ICMSVALP,4042642,4042642,100.0,0,0.0
134,NFOTH,4042642,4042642,100.0,0,0.0
135,INDUS2,4042642,4042642,100.0,0,0.0
136,NFPRI,4042642,4042642,100.0,0,0.0
137,NFNET,4042642,4042642,100.0,0,0.0
138,NFDIS,4042642,4042642,100.0,0,0.0
139,NFFRE,4042642,4042642,100.0,0,0.0
140,NFINS,4042642,4042642,100.0,0,0.0
141,NETWRT,4042642,4042642,100.0,0,0.0
142,LPPBRT,4042642,4042642,100.0,0,0.0
