Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,5371,5371,100.0,0,0.0
2,psp007,5371,5371,100.0,0,0.0
3,psp016,5371,5371,100.0,0,0.0
4,psp015,5371,5371,100.0,0,0.0
5,psp014,5371,5371,100.0,0,0.0
6,psp013,5371,5371,100.0,0,0.0
7,psp012,5371,5371,100.0,0,0.0
8,psp011,5371,5371,100.0,0,0.0
9,psp010,5371,5371,100.0,0,0.0
10,psp009,5371,5371,100.0,0,0.0
11,psp008,5371,5371,100.0,0,0.0
12,psp006,5371,5371,100.0,0,0.0
13,kokrs,5371,5371,100.0,0,0.0
14,psp005,5371,5371,100.0,0,0.0
15,psp004,5371,5371,100.0,0,0.0
16,psp003,5371,5371,100.0,0,0.0
17,psp002,5371,5371,100.0,0,0.0
18,psp001,5371,5371,100.0,0,0.0
19,perbl,5371,5371,100.0,0,0.0
20,vrgng,5371,5371,100.0,0,0.0
21,versn,5371,5371,100.0,0,0.0
22,gjahr,5371,5371,100.0,0,0.0
23,src_commit_time,5371,5371,100.0,0,0.0
