Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,7867,7867,100.0,0,0.0
2,CLINT,7867,7867,100.0,0,0.0
3,VERSI,7867,7867,100.0,0,0.0
4,LEIST,7867,7867,100.0,0,0.0
5,VERWE,7867,7867,100.0,0,0.0
6,SPART,7867,7867,100.0,0,0.0
7,LREF3,7867,7867,100.0,0,0.0
8,WWSKZ,7867,7867,100.0,0,0.0
9,WWSSI,7867,7867,100.0,0,0.0
10,POTPR,7867,7867,100.0,0,0.0
11,CLOBK,7867,7867,100.0,0,0.0
12,CLMUL,7867,7867,100.0,0,0.0
13,CVIEW,7867,7867,100.0,0,0.0
14,DISST,7867,7867,100.0,0,0.0
15,MEINS,7867,7867,100.0,0,0.0
16,CLMOD,7867,7867,100.0,0,0.0
17,VWSTL,7867,7867,100.0,0,0.0
18,VWPLA,7867,7867,100.0,0,0.0
19,CLALT,7867,7867,100.0,0,0.0
20,LBREI,7867,7867,100.0,0,0.0
21,BNAME,7867,7867,100.0,0,0.0
22,MAXBL,7867,7867,100.0,0,0.0
23,KNOBJ,7867,7867,100.0,0,0.0
24,LOCLA,7867,7867,100.0,0,0.0
25,KATALOG,7867,7867,100.0,0,0.0
26,KDOKAZ,7867,7867,100.0,0,0.0
27,GENRKZ,7867,7867,100.0,0,0.0
28,VERSD,7867,7867,100.0,0,0.0
29,AUSGD,7867,7867,100.0,0,0.0
30,NRMT2,7867,7867,100.0,0,0.0
31,VONDT,7867,7867,100.0,0,0.0
32,KLART,7867,7867,100.0,0,0.0
33,CLASS,7867,7867,100.0,0,0.0
34,STATU,7867,7867,100.0,0,0.0
35,KLAGR,7867,7867,100.0,0,0.0
36,BGRSE,7867,7867,100.0,0,0.0
37,BGRKL,7867,7867,100.0,0,0.0
38,BGRKP,7867,7867,100.0,0,0.0
39,ANAME,7867,7867,100.0,0,0.0
40,ADATU,7867,7867,100.0,0,0.0
41,VNAME,7867,7867,100.0,0,0.0
42,VDATU,7867,7867,100.0,0,0.0
43,BISDT,7867,7867,100.0,0,0.0
44,NRMT1,7867,7867,100.0,0,0.0
45,ANZUO,7867,7867,100.0,0,0.0
46,PRAUS,7867,7867,100.0,0,0.0
47,SICHT,7867,7867,100.0,0,0.0
48,DOKNR,7867,7867,100.0,0,0.0
49,DOKAR,7867,7867,100.0,0,0.0
50,DOKTL,7867,7867,100.0,0,0.0
51,DOKVR,7867,7867,100.0,0,0.0
52,DINKZ,7867,7867,100.0,0,0.0
53,NNORM,7867,7867,100.0,0,0.0
54,NORMN,7867,7867,100.0,0,0.0
55,NORMB,7867,7867,100.0,0,0.0
56,src_commit_time,7867,7867,100.0,0,0.0
