Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,80788,80788,100.0,0,0.0
2,KUNNR,80788,80788,100.0,0,0.0
3,BUKRS,80788,80788,100.0,0,0.0
4,WITHT,80788,80788,100.0,0,0.0
5,WT_WITHCD,80788,80788,100.0,0,0.0
6,WT_AGENT,80788,80788,100.0,0,0.0
7,WT_AGTDF,80788,80788,100.0,0,0.0
8,WT_AGTDT,80788,80788,100.0,0,0.0
9,WT_WTSTCD,80788,80788,100.0,0,0.0
10,WT_EXNR,80788,80788,100.0,0,0.0
11,WT_EXRT,80788,80788,100.0,0,0.0
12,WT_EXDF,80788,80788,100.0,0,0.0
13,WT_EXDT,80788,80788,100.0,0,0.0
14,WT_WTEXRS,80788,80788,100.0,0,0.0
15,src_commit_time,80788,80788,100.0,0,0.0
