Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,3582262,3582262,100.0,0,0.0
2,FRBI2,3582262,3582262,100.0,0,0.0
3,SOAB2,3582262,3582262,100.0,0,0.0
4,SOBI1,3582262,3582262,100.0,0,0.0
5,SOAB1,3582262,3582262,100.0,0,0.0
6,SABI2,3582262,3582262,100.0,0,0.0
7,SAAB2,3582262,3582262,100.0,0,0.0
8,SABI1,3582262,3582262,100.0,0,0.0
9,SAAB1,3582262,3582262,100.0,0,0.0
10,FRAB2,3582262,3582262,100.0,0,0.0
11,PARNR,3582262,3582262,100.0,0,0.0
12,FRBI1,3582262,3582262,100.0,0,0.0
13,FRAB1,3582262,3582262,100.0,0,0.0
14,DOBI2,3582262,3582262,100.0,0,0.0
15,DOAB2,3582262,3582262,100.0,0,0.0
16,DOBI1,3582262,3582262,100.0,0,0.0
17,DOAB1,3582262,3582262,100.0,0,0.0
18,MIBI2,3582262,3582262,100.0,0,0.0
19,SOBI2,3582262,3582262,100.0,0,0.0
20,PAKN1,3582262,3582262,100.0,0,0.0
21,PAKN2,3582262,3582262,100.0,0,0.0
22,PAKN3,3582262,3582262,100.0,0,0.0
23,CVP_XBLCK_K,3582262,3582262,100.0,0,0.0
24,PRSNR,3582262,3582262,100.0,0,0.0
25,ADRNP_2,3582262,3582262,100.0,0,0.0
26,KZHERK,3582262,3582262,100.0,0,0.0
27,LOEVM,3582262,3582262,100.0,0,0.0
28,LIFNR,3582262,3582262,100.0,0,0.0
29,DUEFL,3582262,3582262,100.0,0,0.0
30,ERNAM,3582262,3582262,100.0,0,0.0
31,ERDAT,3582262,3582262,100.0,0,0.0
32,TITEL_AP,3582262,3582262,100.0,0,0.0
33,SPNAM,3582262,3582262,100.0,0,0.0
34,FAMST,3582262,3582262,100.0,0,0.0
35,SORTL,3582262,3582262,100.0,0,0.0
36,PAKN5,3582262,3582262,100.0,0,0.0
37,PAKN4,3582262,3582262,100.0,0,0.0
38,MIAB2,3582262,3582262,100.0,0,0.0
39,MIBI1,3582262,3582262,100.0,0,0.0
40,MIAB1,3582262,3582262,100.0,0,0.0
41,GBDAT,3582262,3582262,100.0,0,0.0
42,PARGE,3582262,3582262,100.0,0,0.0
43,PAVIP,3582262,3582262,100.0,0,0.0
44,PARVO,3582262,3582262,100.0,0,0.0
45,PAFKT,3582262,3582262,100.0,0,0.0
46,ANRED,3582262,3582262,100.0,0,0.0
47,TELF1,3582262,3582262,100.0,0,0.0
48,UEPAR,3582262,3582262,100.0,0,0.0
49,ABTNR,3582262,3582262,100.0,0,0.0
50,ABTPA,3582262,3582262,100.0,0,0.0
51,ADRNP,3582262,3582262,100.0,0,0.0
52,ADRND,3582262,3582262,100.0,0,0.0
53,ORT01,3582262,3582262,100.0,0,0.0
54,NAME1,3582262,3582262,100.0,0,0.0
55,NAMEV,3582262,3582262,100.0,0,0.0
56,KUNNR,3582262,3582262,100.0,0,0.0
57,PARLA,3582262,3582262,100.0,0,0.0
58,VRTNR,3582262,3582262,100.0,0,0.0
59,DIBI2,3582262,3582262,100.0,0,0.0
60,BRYTH,3582262,3582262,100.0,0,0.0
61,DIAB2,3582262,3582262,100.0,0,0.0
62,DIBI1,3582262,3582262,100.0,0,0.0
63,DIAB1,3582262,3582262,100.0,0,0.0
64,MOBI2,3582262,3582262,100.0,0,0.0
65,MOAB2,3582262,3582262,100.0,0,0.0
66,MOBI1,3582262,3582262,100.0,0,0.0
67,MOAB1,3582262,3582262,100.0,0,0.0
68,PARH5,3582262,3582262,100.0,0,0.0
69,PARH4,3582262,3582262,100.0,0,0.0
70,PARH3,3582262,3582262,100.0,0,0.0
71,PARH2,3582262,3582262,100.0,0,0.0
72,PARH1,3582262,3582262,100.0,0,0.0
73,PARAU,3582262,3582262,100.0,0,0.0
74,NMAIL,3582262,3582262,100.0,0,0.0
75,AKVER,3582262,3582262,100.0,0,0.0
76,src_commit_time,3582262,3582262,100.0,0,0.0
