Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,40627388,40627388,100.0,0,0.0
2,KUNNR,40627388,40627388,100.0,0,0.0
3,VKORG,40627388,40627388,100.0,0,0.0
4,VTWEG,40627388,40627388,100.0,0,0.0
5,SPART,40627388,40627388,100.0,0,0.0
6,PARVW,40627388,40627388,100.0,0,0.0
7,PARZA,40627388,40627388,100.0,0,0.0
8,KUNN2,40627388,40627388,100.0,0,0.0
9,LIFNR,40627388,40627388,100.0,0,0.0
10,PERNR,40627388,40627388,100.0,0,0.0
11,PARNR,40627388,40627388,100.0,0,0.0
12,KNREF,40627388,40627388,100.0,0,0.0
13,DEFPA,40627388,40627388,100.0,0,0.0
14,src_commit_time,40627388,40627388,100.0,0,0.0
