Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,264318,264318,100.0,0,0.0
2,CLINT,264318,264318,100.0,0,0.0
3,MKENN,264318,264318,100.0,0,0.0
4,AMERK,264318,264318,100.0,0,0.0
5,INPUT,264318,264318,100.0,0,0.0
6,CKBOX,264318,264318,100.0,0,0.0
7,INVER,264318,264318,100.0,0,0.0
8,INTSF,264318,264318,100.0,0,0.0
9,COLOR,264318,264318,100.0,0,0.0
10,JUSTR,264318,264318,100.0,0,0.0
11,CUSTR,264318,264318,100.0,0,0.0
12,DPTXT,264318,264318,100.0,0,0.0
13,BLLIN,264318,264318,100.0,0,0.0
14,OFFST,264318,264318,100.0,0,0.0
15,DPLEN,264318,264318,100.0,0,0.0
16,VMERK,264318,264318,100.0,0,0.0
17,LKENZ,264318,264318,100.0,0,0.0
18,AENNR,264318,264318,100.0,0,0.0
19,TECHV,264318,264318,100.0,0,0.0
20,DATUV,264318,264318,100.0,0,0.0
21,RELEV,264318,264318,100.0,0,0.0
22,KLART,264318,264318,100.0,0,0.0
23,OMERK,264318,264318,100.0,0,0.0
24,IMERK,264318,264318,100.0,0,0.0
25,HERKU,264318,264318,100.0,0,0.0
26,DINKB,264318,264318,100.0,0,0.0
27,ABTEI,264318,264318,100.0,0,0.0
28,ADZHL,264318,264318,100.0,0,0.0
29,POSNR,264318,264318,100.0,0,0.0
30,src_commit_time,264318,264318,100.0,0,0.0
