Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,25,25,100.0,0,0.0
2,RDPRF,25,25,100.0,0,0.0
3,LFRHY,25,25,100.0,0,0.0
4,LIBES,25,25,100.0,0,0.0
5,LIPRE,25,25,100.0,0,0.0
6,LISER,25,25,100.0,0,0.0
7,INCOV,25,25,100.0,0,0.0
8,INCO2_L,25,25,100.0,0,0.0
9,INCO3_L,25,25,100.0,0,0.0
10,DISPO,25,25,100.0,0,0.0
11,BOIND,25,25,100.0,0,0.0
12,BSTAE,25,25,100.0,0,0.0
13,MEGRU,25,25,100.0,0,0.0
14,PLIFZ,25,25,100.0,0,0.0
15,BOPNR,25,25,100.0,0,0.0
16,XERSR,25,25,100.0,0,0.0
17,ABUEB,25,25,100.0,0,0.0
18,PAPRF,25,25,100.0,0,0.0
19,XNBWY,25,25,100.0,0,0.0
20,LEBRE,25,25,100.0,0,0.0
21,BOLRE,25,25,100.0,0,0.0
22,UMSAE,25,25,100.0,0,0.0
23,TRANSPORT_CHAIN,25,25,100.0,0,0.0
24,STAGING_TIME,25,25,100.0,0,0.0
25,MRPPP,25,25,100.0,0,0.0
26,XERSY,25,25,100.0,0,0.0
27,LIFNR,25,25,100.0,0,0.0
28,TELF1,25,25,100.0,0,0.0
29,EKORG,25,25,100.0,0,0.0
30,LTSNR,25,25,100.0,0,0.0
31,WERKS,25,25,100.0,0,0.0
32,ERDAT,25,25,100.0,0,0.0
33,ERNAM,25,25,100.0,0,0.0
34,SPERM,25,25,100.0,0,0.0
35,LOEVM,25,25,100.0,0,0.0
36,LFABC,25,25,100.0,0,0.0
37,WAERS,25,25,100.0,0,0.0
38,VERKF,25,25,100.0,0,0.0
39,MINBW,25,25,100.0,0,0.0
40,EKGRP,25,25,100.0,0,0.0
41,ZTERM,25,25,100.0,0,0.0
42,INCO1,25,25,100.0,0,0.0
43,INCO2,25,25,100.0,0,0.0
44,WEBRE,25,25,100.0,0,0.0
45,KZABS,25,25,100.0,0,0.0
46,KALSK,25,25,100.0,0,0.0
47,KZAUT,25,25,100.0,0,0.0
48,EXPVZ,25,25,100.0,0,0.0
49,ZOLLA,25,25,100.0,0,0.0
50,MEPRF,25,25,100.0,0,0.0
51,src_commit_time,25,25,100.0,0,0.0
