Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,448996,448996,100.0,0,0.0
2,LGNUM,448996,448996,100.0,0,0.0
3,UMREN,448996,448996,100.0,0,0.0
4,BESTQ,448996,448996,100.0,0,0.0
5,SOBKZ,448996,448996,100.0,0,0.0
6,SONUM,448996,448996,100.0,0,0.0
7,WDATU,448996,448996,100.0,0,0.0
8,GESME,448996,448996,100.0,0,0.0
9,IDATU,448996,448996,100.0,0,0.0
10,KZINV,448996,448996,100.0,0,0.0
11,IRNUM,448996,448996,100.0,0,0.0
12,TANUM,448996,448996,100.0,0,0.0
13,TAPOS,448996,448996,100.0,0,0.0
14,LENUM,448996,448996,100.0,0,0.0
15,VFDAT,448996,448996,100.0,0,0.0
16,LGORT,448996,448996,100.0,0,0.0
17,UNAME,448996,448996,100.0,0,0.0
18,QUINV,448996,448996,100.0,0,0.0
19,SGT_SCAT,448996,448996,100.0,0,0.0
20,UMREZ,448996,448996,100.0,0,0.0
21,ALTME,448996,448996,100.0,0,0.0
22,MENGA,448996,448996,100.0,0,0.0
23,LGTYP,448996,448996,100.0,0,0.0
24,IVNUM,448996,448996,100.0,0,0.0
25,IVPOS,448996,448996,100.0,0,0.0
26,LQNUM,448996,448996,100.0,0,0.0
27,NANUM,448996,448996,100.0,0,0.0
28,ISTAT,448996,448996,100.0,0,0.0
29,NVERS,448996,448996,100.0,0,0.0
30,ISEIT,448996,448996,100.0,0,0.0
31,LGPLA,448996,448996,100.0,0,0.0
32,MEINS,448996,448996,100.0,0,0.0
33,PLPOS,448996,448996,100.0,0,0.0
34,MATNR,448996,448996,100.0,0,0.0
35,WERKS,448996,448996,100.0,0,0.0
36,CHARG,448996,448996,100.0,0,0.0
37,LETYP,448996,448996,100.0,0,0.0
38,ANZLE,448996,448996,100.0,0,0.0
39,MENGE,448996,448996,100.0,0,0.0
40,src_commit_time,448996,448996,100.0,0,0.0
