Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,16565,16565,100.0,0,0.0
2,AUSZ4,16565,16565,100.0,0,0.0
3,AUSZ2,16565,16565,100.0,0,0.0
4,AUSZ1,16565,16565,100.0,0,0.0
5,NFMAT,16565,16565,100.0,0,0.0
6,AUSDT,16565,16565,100.0,0,0.0
7,KZAUS,16565,16565,100.0,0,0.0
8,BERW2,16565,16565,100.0,0,0.0
9,BERW1,16565,16565,100.0,0,0.0
10,RDPRF,16565,16565,100.0,0,0.0
11,LFRHY,16565,16565,100.0,0,0.0
12,BDARF,16565,16565,100.0,0,0.0
13,MRPPP,16565,16565,100.0,0,0.0
14,PERIV,16565,16565,100.0,0,0.0
15,DISGR,16565,16565,100.0,0,0.0
16,MSGV4,16565,16565,100.0,0,0.0
17,MSGV3,16565,16565,100.0,0,0.0
18,MSGV2,16565,16565,100.0,0,0.0
19,MSGV1,16565,16565,100.0,0,0.0
20,MSGNR,16565,16565,100.0,0,0.0
21,MSGAR,16565,16565,100.0,0,0.0
22,MSGID,16565,16565,100.0,0,0.0
23,NEGBS,16565,16565,100.0,0,0.0
24,AUSZ3,16565,16565,100.0,0,0.0
25,AUSZ5,16565,16565,100.0,0,0.0
26,SUM04,16565,16565,100.0,0,0.0
27,AUSZ6,16565,16565,100.0,0,0.0
28,HANAON,16565,16565,100.0,0,0.0
29,SGT_STATC,16565,16565,100.0,0,0.0
30,BADON,16565,16565,100.0,0,0.0
31,BERW4,16565,16565,100.0,0,0.0
32,AHDIS,16565,16565,100.0,0,0.0
33,SHPRO,16565,16565,100.0,0,0.0
34,RWPRO,16565,16565,100.0,0,0.0
35,GRREL,16565,16565,100.0,0,0.0
36,CFLAG,16565,16565,100.0,0,0.0
37,MAABC,16565,16565,100.0,0,0.0
38,BSKFL,16565,16565,100.0,0,0.0
39,MFXDT,16565,16565,100.0,0,0.0
40,FABKZ,16565,16565,100.0,0,0.0
41,SHZET,16565,16565,100.0,0,0.0
42,SHFLG,16565,16565,100.0,0,0.0
43,KZPROMO,16565,16565,100.0,0,0.0
44,SAUFT,16565,16565,100.0,0,0.0
45,NAUKZ,16565,16565,100.0,0,0.0
46,BEADA,16565,16565,100.0,0,0.0
47,AUSZ8,16565,16565,100.0,0,0.0
48,AUSZ7,16565,16565,100.0,0,0.0
49,SUM05,16565,16565,100.0,0,0.0
50,SUM03,16565,16565,100.0,0,0.0
51,DTART,16565,16565,100.0,0,0.0
52,SOBES,16565,16565,100.0,0,0.0
53,BESKZ,16565,16565,100.0,0,0.0
54,DISST,16565,16565,100.0,0,0.0
55,MEINS,16565,16565,100.0,0,0.0
56,MTART,16565,16565,100.0,0,0.0
57,VRKZ3,16565,16565,100.0,0,0.0
58,VRKZ2,16565,16565,100.0,0,0.0
59,VRKZ1,16565,16565,100.0,0,0.0
60,SLKZ8,16565,16565,100.0,0,0.0
61,SLKZ7,16565,16565,100.0,0,0.0
62,SLKZ6,16565,16565,100.0,0,0.0
63,SLKZ5,16565,16565,100.0,0,0.0
64,SLKZ4,16565,16565,100.0,0,0.0
65,SLKZ3,16565,16565,100.0,0,0.0
66,SLKZ2,16565,16565,100.0,0,0.0
67,SLKZ1,16565,16565,100.0,0,0.0
68,BDBKZ,16565,16565,100.0,0,0.0
69,DSDAT,16565,16565,100.0,0,0.0
70,DTNUM,16565,16565,100.0,0,0.0
71,PLSCN,16565,16565,100.0,0,0.0
72,PLWRK,16565,16565,100.0,0,0.0
73,MATNR,16565,16565,100.0,0,0.0
74,SOBSL,16565,16565,100.0,0,0.0
75,WRK02,16565,16565,100.0,0,0.0
76,SUM02,16565,16565,100.0,0,0.0
77,DISMM,16565,16565,100.0,0,0.0
78,SUM01,16565,16565,100.0,0,0.0
79,BSTRF,16565,16565,100.0,0,0.0
80,BSTFX,16565,16565,100.0,0,0.0
81,BSTMA,16565,16565,100.0,0,0.0
82,BSTMI,16565,16565,100.0,0,0.0
83,HOEBE,16565,16565,100.0,0,0.0
84,MINBE,16565,16565,100.0,0,0.0
85,EISBE,16565,16565,100.0,0,0.0
86,PERAZ,16565,16565,100.0,0,0.0
87,LOSKZ,16565,16565,100.0,0,0.0
88,LOSVF,16565,16565,100.0,0,0.0
89,DISLS,16565,16565,100.0,0,0.0
90,MFHKZ,16565,16565,100.0,0,0.0
91,FIXTR,16565,16565,100.0,0,0.0
92,BEAZT,16565,16565,100.0,0,0.0
93,WEBAZ,16565,16565,100.0,0,0.0
94,MTWZT,16565,16565,100.0,0,0.0
95,EKGRP,16565,16565,100.0,0,0.0
96,PLDIS,16565,16565,100.0,0,0.0
97,DISPO,16565,16565,100.0,0,0.0
98,DISVF,16565,16565,100.0,0,0.0
99,src_commit_time,16565,16565,100.0,0,0.0
