Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,18728849,18728849,100.0,0,0.0
2,MATNR,18728849,18728849,100.0,0,0.0
3,ALAND,18728849,18728849,100.0,0,0.0
4,TAXM1,18728849,18728849,100.0,0,0.0
5,TAXM2,18728849,18728849,100.0,0,0.0
6,TAXM3,18728849,18728849,100.0,0,0.0
7,TAXM4,18728849,18728849,100.0,0,0.0
8,TAXM5,18728849,18728849,100.0,0,0.0
9,TAXM6,18728849,18728849,100.0,0,0.0
10,TAXM7,18728849,18728849,100.0,0,0.0
11,TAXM8,18728849,18728849,100.0,0,0.0
12,TAXM9,18728849,18728849,100.0,0,0.0
13,TAXIM,18728849,18728849,100.0,0,0.0
14,src_commit_time,18728849,18728849,100.0,0,0.0
