Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1740112,1740112,100.0,0,0.0
2,LETY2,1740112,1740112,100.0,0,0.0
3,L2SKR,1740112,1740112,100.0,0,0.0
4,VOMEM,1740112,1740112,100.0,0,0.0
5,PLKPT,1740112,1740112,100.0,0,0.0
6,BEZME,1740112,1740112,100.0,0,0.0
7,MKAPV,1740112,1740112,100.0,0,0.0
8,BSSKZ,1740112,1740112,100.0,0,0.0
9,KZMBF,1740112,1740112,100.0,0,0.0
10,BLOCK,1740112,1740112,100.0,0,0.0
11,KZZUL,1740112,1740112,100.0,0,0.0
12,LVSME,1740112,1740112,100.0,0,0.0
13,LETY3,1740112,1740112,100.0,0,0.0
14,LETY1,1740112,1740112,100.0,0,0.0
15,MATNR,1740112,1740112,100.0,0,0.0
16,LHME3,1740112,1740112,100.0,0,0.0
17,LHME2,1740112,1740112,100.0,0,0.0
18,LHME1,1740112,1740112,100.0,0,0.0
19,LHMG3,1740112,1740112,100.0,0,0.0
20,LHMG2,1740112,1740112,100.0,0,0.0
21,LHMG1,1740112,1740112,100.0,0,0.0
22,LTKZA,1740112,1740112,100.0,0,0.0
23,LTKZE,1740112,1740112,100.0,0,0.0
24,LGBKZ,1740112,1740112,100.0,0,0.0
25,LVORM,1740112,1740112,100.0,0,0.0
26,LGNUM,1740112,1740112,100.0,0,0.0
27,src_commit_time,1740112,1740112,100.0,0,0.0
