Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MLST_MANDT,1406831,1406831,100.0,0,0.0
2,INCPN_SS,1406831,1406831,100.0,0,0.0
3,RELMS_SM,1406831,1406831,100.0,0,0.0
4,RELSU_SM,1406831,1406831,100.0,0,0.0
5,WKFLW_US,1406831,1406831,100.0,0,0.0
6,INCSN_US,1406831,1406831,100.0,0,0.0
7,INCNW_US,1406831,1406831,100.0,0,0.0
8,INCPN_US,1406831,1406831,100.0,0,0.0
9,RELMS_US,1406831,1406831,100.0,0,0.0
10,RELSU_US,1406831,1406831,100.0,0,0.0
11,WKFLW_SS,1406831,1406831,100.0,0,0.0
12,INCSN_SS,1406831,1406831,100.0,0,0.0
13,INCNW_SS,1406831,1406831,100.0,0,0.0
14,RELMS_SS,1406831,1406831,100.0,0,0.0
15,INCNW_SM,1406831,1406831,100.0,0,0.0
16,RELSU_SS,1406831,1406831,100.0,0,0.0
17,WKFLW_AL,1406831,1406831,100.0,0,0.0
18,INCSN_AL,1406831,1406831,100.0,0,0.0
19,INCNW_AL,1406831,1406831,100.0,0,0.0
20,INCPN_AL,1406831,1406831,100.0,0,0.0
21,RELMS_AL,1406831,1406831,100.0,0,0.0
22,RELSU_AL,1406831,1406831,100.0,0,0.0
23,WKFLW,1406831,1406831,100.0,0,0.0
24,INCSN,1406831,1406831,100.0,0,0.0
25,INCNW,1406831,1406831,100.0,0,0.0
26,INCPN,1406831,1406831,100.0,0,0.0
27,INCPN_SM,1406831,1406831,100.0,0,0.0
28,INCSN_SM,1406831,1406831,100.0,0,0.0
29,MLST_ZAEHL,1406831,1406831,100.0,0,0.0
30,RELSU_TR,1406831,1406831,100.0,0,0.0
31,CH_PROC,1406831,1406831,100.0,0,0.0
32,COMP_RES,1406831,1406831,100.0,0,0.0
33,FPROZ,1406831,1406831,100.0,0,0.0
34,SPSNR,1406831,1406831,100.0,0,0.0
35,STSMA,1406831,1406831,100.0,0,0.0
36,BEGRU,1406831,1406831,100.0,0,0.0
37,WKFLW_TR,1406831,1406831,100.0,0,0.0
38,INCSN_TR,1406831,1406831,100.0,0,0.0
39,INCNW_TR,1406831,1406831,100.0,0,0.0
40,INCPN_TR,1406831,1406831,100.0,0,0.0
41,RELMS_TR,1406831,1406831,100.0,0,0.0
42,WKFLW_SG,1406831,1406831,100.0,0,0.0
43,WKFLW_SM,1406831,1406831,100.0,0,0.0
44,INCSN_SG,1406831,1406831,100.0,0,0.0
45,INCNW_SG,1406831,1406831,100.0,0,0.0
46,INCPN_SG,1406831,1406831,100.0,0,0.0
47,RELMS_SG,1406831,1406831,100.0,0,0.0
48,RELSU_SG,1406831,1406831,100.0,0,0.0
49,WKFLW_CH,1406831,1406831,100.0,0,0.0
50,INCSN_CH,1406831,1406831,100.0,0,0.0
51,INCNW_CH,1406831,1406831,100.0,0,0.0
52,INCPN_CH,1406831,1406831,100.0,0,0.0
53,RELMS_CH,1406831,1406831,100.0,0,0.0
54,RELSU_CH,1406831,1406831,100.0,0,0.0
55,RELMS,1406831,1406831,100.0,0,0.0
56,RELSU,1406831,1406831,100.0,0,0.0
57,TASK_ID,1406831,1406831,100.0,0,0.0
58,PLNAL,1406831,1406831,100.0,0,0.0
59,EZEIT,1406831,1406831,100.0,0,0.0
60,EDATU,1406831,1406831,100.0,0,0.0
61,TPTIM,1406831,1406831,100.0,0,0.0
62,TPDAT,1406831,1406831,100.0,0,0.0
63,TETIM,1406831,1406831,100.0,0,0.0
64,TEDAT,1406831,1406831,100.0,0,0.0
65,PSPNR,1406831,1406831,100.0,0,0.0
66,APLZL,1406831,1406831,100.0,0,0.0
67,AUFPL,1406831,1406831,100.0,0,0.0
68,AUTYP,1406831,1406831,100.0,0,0.0
69,PLNKN,1406831,1406831,100.0,0,0.0
70,PLNTY,1406831,1406831,100.0,0,0.0
71,OPREN_ICSN,1406831,1406831,100.0,0,0.0
72,PLNNR,1406831,1406831,100.0,0,0.0
73,DATEV,1406831,1406831,100.0,0,0.0
74,USERV,1406831,1406831,100.0,0,0.0
75,DATEH,1406831,1406831,100.0,0,0.0
76,USERH,1406831,1406831,100.0,0,0.0
77,MLSTN,1406831,1406831,100.0,0,0.0
78,LOEKZ,1406831,1406831,100.0,0,0.0
79,AENNR,1406831,1406831,100.0,0,0.0
80,TECHV,1406831,1406831,100.0,0,0.0
81,DATUV,1406831,1406831,100.0,0,0.0
82,ZAEHL,1406831,1406831,100.0,0,0.0
83,PDATU,1406831,1406831,100.0,0,0.0
84,PZEIT,1406831,1406831,100.0,0,0.0
85,LATED,1406831,1406831,100.0,0,0.0
86,DLTAS,1406831,1406831,100.0,0,0.0
87,OPRST_ICSN,1406831,1406831,100.0,0,0.0
88,ALTNR_ICSN,1406831,1406831,100.0,0,0.0
89,STDNR_ICSN,1406831,1406831,100.0,0,0.0
90,VORNR_ICPN,1406831,1406831,100.0,0,0.0
91,ALTNR_ICPN,1406831,1406831,100.0,0,0.0
92,STDNR_ICPN,1406831,1406831,100.0,0,0.0
93,ALTNR_ICNW,1406831,1406831,100.0,0,0.0
94,STDNR_ICNW,1406831,1406831,100.0,0,0.0
95,AUART_ICNW,1406831,1406831,100.0,0,0.0
96,RMZHL,1406831,1406831,100.0,0,0.0
97,RUECK,1406831,1406831,100.0,0,0.0
98,LST_ACTTM,1406831,1406831,100.0,0,0.0
99,LST_ACTDT,1406831,1406831,100.0,0,0.0
100,LST_FERTG,1406831,1406831,100.0,0,0.0
101,KZ_FRMST,1406831,1406831,100.0,0,0.0
102,KZ_FAKTP,1406831,1406831,100.0,0,0.0
103,KZ_WFLOW,1406831,1406831,100.0,0,0.0
104,KZ_LSTWR,1406831,1406831,100.0,0,0.0
105,KZ_TREND,1406831,1406831,100.0,0,0.0
106,SDDAT,1406831,1406831,100.0,0,0.0
107,PRCNT,1406831,1406831,100.0,0,0.0
108,DELTE,1406831,1406831,100.0,0,0.0
109,DELTA,1406831,1406831,100.0,0,0.0
110,src_commit_time,1406831,1406831,100.0,0,0.0
