Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,49996,49996,100.0,0,0.0
2,MATNR,49996,49996,100.0,0,0.0
3,SGT_SCAT,49996,49996,100.0,0,0.0
4,LBUML,49996,49996,100.0,0,0.0
5,LBRUE,49996,49996,100.0,0,0.0
6,LBJIN,49996,49996,100.0,0,0.0
7,ERSDA,49996,49996,100.0,0,0.0
8,LBVEI,49996,49996,100.0,0,0.0
9,LBEIN,49996,49996,100.0,0,0.0
10,LBDLL,49996,49996,100.0,0,0.0
11,LBFLQ,49996,49996,100.0,0,0.0
12,LBFLL,49996,49996,100.0,0,0.0
13,LBVLQ,49996,49996,100.0,0,0.0
14,LBVLL,49996,49996,100.0,0,0.0
15,LBILQ,49996,49996,100.0,0,0.0
16,LBILL,49996,49996,100.0,0,0.0
17,LBVIN,49996,49996,100.0,0,0.0
18,LBVLA,49996,49996,100.0,0,0.0
19,LBINS,49996,49996,100.0,0,0.0
20,LBLAB,49996,49996,100.0,0,0.0
21,LBSPR,49996,49996,100.0,0,0.0
22,LFMON,49996,49996,100.0,0,0.0
23,LFGJA,49996,49996,100.0,0,0.0
24,LIFNR,49996,49996,100.0,0,0.0
25,SOBKZ,49996,49996,100.0,0,0.0
26,CHARG,49996,49996,100.0,0,0.0
27,WERKS,49996,49996,100.0,0,0.0
28,src_commit_time,49996,49996,100.0,0,0.0
