Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,187248,187248,100.0,0,0.0
2,DSUF2,187248,187248,100.0,0,0.0
3,SNDBC,187248,187248,100.0,0,0.0
4,FORFB,187248,187248,100.0,0,0.0
5,PRIFB,187248,187248,100.0,0,0.0
6,ACALL,187248,187248,100.0,0,0.0
7,OBJAC,187248,187248,100.0,0,0.0
8,OBJRR,187248,187248,100.0,0,0.0
9,OBJRN,187248,187248,100.0,0,0.0
10,OUTFL,187248,187248,100.0,0,0.0
11,OBJSNS,187248,187248,100.0,0,0.0
12,OBJPRI,187248,187248,100.0,0,0.0
13,OBJCP,187248,187248,100.0,0,0.0
14,LDEST,187248,187248,100.0,0,0.0
15,DSNAM,187248,187248,100.0,0,0.0
16,DSUF1,187248,187248,100.0,0,0.0
17,DIMME,187248,187248,100.0,0,0.0
18,SNDEX,187248,187248,100.0,0,0.0
19,DELET,187248,187248,100.0,0,0.0
20,TDRECEIVER,187248,187248,100.0,0,0.0
21,TDDIVISION,187248,187248,100.0,0,0.0
22,TDOCOVER,187248,187248,100.0,0,0.0
23,TDCOVTITLE,187248,187248,100.0,0,0.0
24,TDAUTORITY,187248,187248,100.0,0,0.0
25,ACOUT,187248,187248,100.0,0,0.0
26,SKIPS,187248,187248,100.0,0,0.0
27,ACMEM,187248,187248,100.0,0,0.0
28,ACNAM,187248,187248,100.0,0,0.0
29,EVENT,187248,187248,100.0,0,0.0
30,OBJTYPE,187248,187248,100.0,0,0.0
31,TDSCHEDULE,187248,187248,100.0,0,0.0
32,TDARMOD,187248,187248,100.0,0,0.0
33,SNDCP,187248,187248,100.0,0,0.0
34,SNDDR,187248,187248,100.0,0,0.0
35,KNUMH,187248,187248,100.0,0,0.0
36,VSZTP,187248,187248,100.0,0,0.0
37,ERNAM,187248,187248,100.0,0,0.0
38,ERDAT,187248,187248,100.0,0,0.0
39,KVEWE,187248,187248,100.0,0,0.0
40,KOTABNR,187248,187248,100.0,0,0.0
41,KAPPL,187248,187248,100.0,0,0.0
42,KSCHL,187248,187248,100.0,0,0.0
43,VAKEY,187248,187248,100.0,0,0.0
44,DATAB,187248,187248,100.0,0,0.0
45,DATBI,187248,187248,100.0,0,0.0
46,KOSRT,187248,187248,100.0,0,0.0
47,PARVW,187248,187248,100.0,0,0.0
48,PARNR,187248,187248,100.0,0,0.0
49,NACHA,187248,187248,100.0,0,0.0
50,ANZAL,187248,187248,100.0,0,0.0
51,TCODE,187248,187248,100.0,0,0.0
52,SPRAS,187248,187248,100.0,0,0.0
53,AENDE,187248,187248,100.0,0,0.0
54,REPID,187248,187248,100.0,0,0.0
55,PFLD1,187248,187248,100.0,0,0.0
56,PFLD2,187248,187248,100.0,0,0.0
57,PFLD3,187248,187248,100.0,0,0.0
58,PFLD4,187248,187248,100.0,0,0.0
59,PFLD5,187248,187248,100.0,0,0.0
60,PMID1,187248,187248,100.0,0,0.0
61,PMID2,187248,187248,100.0,0,0.0
62,PMID3,187248,187248,100.0,0,0.0
63,PMID4,187248,187248,100.0,0,0.0
64,PMID5,187248,187248,100.0,0,0.0
65,TDNAME,187248,187248,100.0,0,0.0
66,TDID,187248,187248,100.0,0,0.0
67,src_commit_time,187248,187248,100.0,0,0.0
