Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,47366,47366,100.0,0,0.0
2,WKWDY,47366,47366,100.0,0,0.0
3,TEILK,47366,47366,100.0,0,0.0
4,MINTA,47366,47366,100.0,0,0.0
5,MAXTA,47366,47366,100.0,0,0.0
6,MINWO,47366,47366,100.0,0,0.0
7,MAXWO,47366,47366,100.0,0,0.0
8,MINMO,47366,47366,100.0,0,0.0
9,MAXMO,47366,47366,100.0,0,0.0
10,MINJA,47366,47366,100.0,0,0.0
11,OBJPS,47366,47366,100.0,0,0.0
12,MAXJA,47366,47366,100.0,0,0.0
13,DYSCH,47366,47366,100.0,0,0.0
14,KZTIM,47366,47366,100.0,0,0.0
15,WWEEK,47366,47366,100.0,0,0.0
16,AWTYP,47366,47366,100.0,0,0.0
17,SPRPS,47366,47366,100.0,0,0.0
18,ENDDA,47366,47366,100.0,0,0.0
19,BEGDA,47366,47366,100.0,0,0.0
20,SEQNR,47366,47366,100.0,0,0.0
21,AEDTM,47366,47366,100.0,0,0.0
22,JRSTD,47366,47366,100.0,0,0.0
23,SUBTY,47366,47366,100.0,0,0.0
24,UNAME,47366,47366,100.0,0,0.0
25,ARBST,47366,47366,100.0,0,0.0
26,HISTO,47366,47366,100.0,0,0.0
27,ITXEX,47366,47366,100.0,0,0.0
28,REFEX,47366,47366,100.0,0,0.0
29,ORDEX,47366,47366,100.0,0,0.0
30,ITBLD,47366,47366,100.0,0,0.0
31,PREAS,47366,47366,100.0,0,0.0
32,FLAG1,47366,47366,100.0,0,0.0
33,FLAG2,47366,47366,100.0,0,0.0
34,FLAG3,47366,47366,100.0,0,0.0
35,PERNR,47366,47366,100.0,0,0.0
36,FLAG4,47366,47366,100.0,0,0.0
37,RESE1,47366,47366,100.0,0,0.0
38,RESE2,47366,47366,100.0,0,0.0
39,GRPVL,47366,47366,100.0,0,0.0
40,SCHKZ,47366,47366,100.0,0,0.0
41,ZTERF,47366,47366,100.0,0,0.0
42,EMPCT,47366,47366,100.0,0,0.0
43,MOSTD,47366,47366,100.0,0,0.0
44,WOSTD,47366,47366,100.0,0,0.0
45,src_commit_time,47366,47366,100.0,0,0.0
