Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,23093,23093,100.0,0,0.0
2,PLNUM,23093,23093,100.0,0,0.0
3,VRPLA,23093,23093,100.0,0,0.0
4,KZAVC,23093,23093,100.0,0,0.0
5,LVSCH,23093,23093,100.0,0,0.0
6,PRSCH,23093,23093,100.0,0,0.0
7,PLETX,23093,23093,100.0,0,0.0
8,GSBTR,23093,23093,100.0,0,0.0
9,MDACT,23093,23093,100.0,0,0.0
10,MDACD,23093,23093,100.0,0,0.0
11,MDACC,23093,23093,100.0,0,0.0
12,MDACH,23093,23093,100.0,0,0.0
13,VFMNG,23093,23093,100.0,0,0.0
14,MDPBV,23093,23093,100.0,0,0.0
15,PRNKZ,23093,23093,100.0,0,0.0
16,MONKZ,23093,23093,100.0,0,0.0
17,PEDTI,23093,23093,100.0,0,0.0
18,PSTTI,23093,23093,100.0,0,0.0
19,SEQNR,23093,23093,100.0,0,0.0
20,KAPFX,23093,23093,100.0,0,0.0
21,KBNKZ,23093,23093,100.0,0,0.0
22,SBNUM,23093,23093,100.0,0,0.0
23,PLSCN,23093,23093,100.0,0,0.0
24,OBART,23093,23093,100.0,0,0.0
25,GROER,23093,23093,100.0,0,0.0
26,RATER,23093,23093,100.0,0,0.0
27,GROID,23093,23093,100.0,0,0.0
28,RATID,23093,23093,100.0,0,0.0
29,ABMNG,23093,23093,100.0,0,0.0
30,REVLV,23093,23093,100.0,0,0.0
31,CUOBJ,23093,23093,100.0,0,0.0
32,PBDNR,23093,23093,100.0,0,0.0
33,AGREQ,23093,23093,100.0,0,0.0
34,UMREZ,23093,23093,100.0,0,0.0
35,PUSER,23093,23093,100.0,0,0.0
36,DPS_HANDOVER_TIME,23093,23093,100.0,0,0.0
37,FSH_MPLND_ORD,23093,23093,100.0,0,0.0
38,DAC_CREATION_DATE,23093,23093,100.0,0,0.0
39,DAC_INDIRECT_ACCESS,23093,23093,100.0,0,0.0
40,DAC_PP_COMPONENT,23093,23093,100.0,0,0.0
41,SGT_SCAT,23093,23093,100.0,0,0.0
42,CNFQTY,23093,23093,100.0,0,0.0
43,MEDKZ,23093,23093,100.0,0,0.0
44,SRM_CONTRACT_ITM,23093,23093,100.0,0,0.0
45,SRM_CONTRACT_ID,23093,23093,100.0,0,0.0
46,RESLO,23093,23093,100.0,0,0.0
47,STAEX,23093,23093,100.0,0,0.0
48,BADI,23093,23093,100.0,0,0.0
49,PSTMP,23093,23093,100.0,0,0.0
50,UMREN,23093,23093,100.0,0,0.0
51,REMFL,23093,23093,100.0,0,0.0
52,EMATN,23093,23093,100.0,0,0.0
53,UBERI,23093,23093,100.0,0,0.0
54,BERID,23093,23093,100.0,0,0.0
55,EMLIF,23093,23093,100.0,0,0.0
56,LBLKZ,23093,23093,100.0,0,0.0
57,EDGNO,23093,23093,100.0,0,0.0
58,WAMNG,23093,23093,100.0,0,0.0
59,WEMNG,23093,23093,100.0,0,0.0
60,KZBWS,23093,23093,100.0,0,0.0
61,RQNUM,23093,23093,100.0,0,0.0
62,ERFME,23093,23093,100.0,0,0.0
63,ERFMG,23093,23093,100.0,0,0.0
64,MEINS,23093,23093,100.0,0,0.0
65,RGEKZ,23093,23093,100.0,0,0.0
66,FRTHW,23093,23093,100.0,0,0.0
67,DISPO,23093,23093,100.0,0,0.0
68,KONNR,23093,23093,100.0,0,0.0
69,FLIEF,23093,23093,100.0,0,0.0
70,QUPOS,23093,23093,100.0,0,0.0
71,QUNUM,23093,23093,100.0,0,0.0
72,RSNUM,23093,23093,100.0,0,0.0
73,PROJN,23093,23093,100.0,0,0.0
74,KDEIN,23093,23093,100.0,0,0.0
75,KDPOS,23093,23093,100.0,0,0.0
76,KDAUF,23093,23093,100.0,0,0.0
77,KNTTP,23093,23093,100.0,0,0.0
78,STLFX,23093,23093,100.0,0,0.0
79,AUFFX,23093,23093,100.0,0,0.0
80,UMSKZ,23093,23093,100.0,0,0.0
81,WEBAZ,23093,23093,100.0,0,0.0
82,EKORG,23093,23093,100.0,0,0.0
83,PERTR,23093,23093,100.0,0,0.0
84,PEDTR,23093,23093,100.0,0,0.0
85,PSTTR,23093,23093,100.0,0,0.0
86,BDMNG,23093,23093,100.0,0,0.0
87,AVMNG,23093,23093,100.0,0,0.0
88,TLMNG,23093,23093,100.0,0,0.0
89,GSMNG,23093,23093,100.0,0,0.0
90,SOBES,23093,23093,100.0,0,0.0
91,BESKZ,23093,23093,100.0,0,0.0
92,PAART,23093,23093,100.0,0,0.0
93,PWWRK,23093,23093,100.0,0,0.0
94,PLWRK,23093,23093,100.0,0,0.0
95,MATNR,23093,23093,100.0,0,0.0
96,KTPNR,23093,23093,100.0,0,0.0
97,LGORT,23093,23093,100.0,0,0.0
98,PLNTY,23093,23093,100.0,0,0.0
99,AUFNR,23093,23093,100.0,0,0.0
100,PLNAL,23093,23093,100.0,0,0.0
101,PLNNR,23093,23093,100.0,0,0.0
102,TRMHK,23093,23093,100.0,0,0.0
103,REDKZ,23093,23093,100.0,0,0.0
104,TRMER,23093,23093,100.0,0,0.0
105,TRMKZ,23093,23093,100.0,0,0.0
106,LINID,23093,23093,100.0,0,0.0
107,AUFPL,23093,23093,100.0,0,0.0
108,BEDID,23093,23093,100.0,0,0.0
109,TERED,23093,23093,100.0,0,0.0
110,TERST,23093,23093,100.0,0,0.0
111,PLGRP,23093,23093,100.0,0,0.0
112,TRART,23093,23093,100.0,0,0.0
113,VERID,23093,23093,100.0,0,0.0
114,NUMVR,23093,23093,100.0,0,0.0
115,VERTO,23093,23093,100.0,0,0.0
116,ARSPS,23093,23093,100.0,0,0.0
117,ARSNR,23093,23093,100.0,0,0.0
118,AENNR,23093,23093,100.0,0,0.0
119,STSTA,23093,23093,100.0,0,0.0
120,STALT,23093,23093,100.0,0,0.0
121,STLAN,23093,23093,100.0,0,0.0
122,TECHS,23093,23093,100.0,0,0.0
123,PALTR,23093,23093,100.0,0,0.0
124,SERNR,23093,23093,100.0,0,0.0
125,PSPEL,23093,23093,100.0,0,0.0
126,SOBKZ,23093,23093,100.0,0,0.0
127,KZVBR,23093,23093,100.0,0,0.0
128,src_commit_time,23093,23093,100.0,0,0.0
