Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,228921,228921,100.0,0,0.0
2,PLNTY,228921,228921,100.0,0,0.0
3,KNOBJ,228921,228921,100.0,0,0.0
4,AUSCHL,228921,228921,100.0,0,0.0
5,BSCHL2,228921,228921,100.0,0,0.0
6,BSCHL1,228921,228921,100.0,0,0.0
7,LOSBS,228921,228921,100.0,0,0.0
8,LOSVN,228921,228921,100.0,0,0.0
9,TXTSP,228921,228921,100.0,0,0.0
10,LTXA1,228921,228921,100.0,0,0.0
11,BKNT2,228921,228921,100.0,0,0.0
12,BKNT1,228921,228921,100.0,0,0.0
13,BEZFL,228921,228921,100.0,0,0.0
14,FLGAT,228921,228921,100.0,0,0.0
15,AENAM,228921,228921,100.0,0,0.0
16,AEDAT,228921,228921,100.0,0,0.0
17,ANNAM,228921,228921,100.0,0,0.0
18,ANDAT,228921,228921,100.0,0,0.0
19,PARKZ,228921,228921,100.0,0,0.0
20,LOEKZ,228921,228921,100.0,0,0.0
21,AENNR,228921,228921,100.0,0,0.0
22,TECHV,228921,228921,100.0,0,0.0
23,DATUV,228921,228921,100.0,0,0.0
24,ZAEHL,228921,228921,100.0,0,0.0
25,PLNFL,228921,228921,100.0,0,0.0
26,PLNAL,228921,228921,100.0,0,0.0
27,PLNNR,228921,228921,100.0,0,0.0
28,src_commit_time,228921,228921,100.0,0,0.0
