Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,62475655,62475655,100.0,0,0.0
2,PSTER,62475655,62475655,100.0,0,0.0
3,FUNKTION,62475655,62475655,100.0,0,0.0
4,KZACTIONBOX,62475655,62475655,100.0,0,0.0
5,AUTKZ,62475655,62475655,100.0,0,0.0
6,QMANUM,62475655,62475655,100.0,0,0.0
7,KZLOESCH,62475655,62475655,100.0,0,0.0
8,AEZEIT,62475655,62475655,100.0,0,0.0
9,ERZEIT,62475655,62475655,100.0,0,0.0
10,PETUR,62475655,62475655,100.0,0,0.0
11,PSTUR,62475655,62475655,100.0,0,0.0
12,MNGFA,62475655,62475655,100.0,0,0.0
13,KZMLA,62475655,62475655,100.0,0,0.0
14,INDTX,62475655,62475655,100.0,0,0.0
15,PETER,62475655,62475655,100.0,0,0.0
16,KLAKZ,62475655,62475655,100.0,0,0.0
17,QMNUM,62475655,62475655,100.0,0,0.0
18,MAKLS,62475655,62475655,100.0,0,0.0
19,AEDAT,62475655,62475655,100.0,0,0.0
20,AENAM,62475655,62475655,100.0,0,0.0
21,ERDAT,62475655,62475655,100.0,0,0.0
22,ERNAM,62475655,62475655,100.0,0,0.0
23,MATXT,62475655,62475655,100.0,0,0.0
24,MNVER,62475655,62475655,100.0,0,0.0
25,MNCOD,62475655,62475655,100.0,0,0.0
26,MNGRP,62475655,62475655,100.0,0,0.0
27,MNKAT,62475655,62475655,100.0,0,0.0
28,URNUM,62475655,62475655,100.0,0,0.0
29,FENUM,62475655,62475655,100.0,0,0.0
30,MANUM,62475655,62475655,100.0,0,0.0
31,src_commit_time,62475655,62475655,100.0,0,0.0
