Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,21541443,21541443,100.0,0,0.0
2,KBNKZ,21541443,21541443,100.0,0,0.0
3,VMENG,21541443,21541443,100.0,0,0.0
4,CUOBJ,21541443,21541443,100.0,0,0.0
5,KFPOS,21541443,21541443,100.0,0,0.0
6,REVLV,21541443,21541443,100.0,0,0.0
7,LGNUM,21541443,21541443,100.0,0,0.0
8,LGTYP,21541443,21541443,100.0,0,0.0
9,LGPLA,21541443,21541443,100.0,0,0.0
10,KZKUP,21541443,21541443,100.0,0,0.0
11,NFPKZ,21541443,21541443,100.0,0,0.0
12,NO_DISP,21541443,21541443,100.0,0,0.0
13,BDZTP,21541443,21541443,100.0,0,0.0
14,ESMNG,21541443,21541443,100.0,0,0.0
15,ALPGR,21541443,21541443,100.0,0,0.0
16,ALPRF,21541443,21541443,100.0,0,0.0
17,ALPST,21541443,21541443,100.0,0,0.0
18,KZAUS,21541443,21541443,100.0,0,0.0
19,RGEKZ,21541443,21541443,100.0,0,0.0
20,APLZL,21541443,21541443,100.0,0,0.0
21,RSNUM,21541443,21541443,100.0,0,0.0
22,PSPEL,21541443,21541443,100.0,0,0.0
23,UPSKZ,21541443,21541443,100.0,0,0.0
24,DBSKZ,21541443,21541443,100.0,0,0.0
25,TXTPS,21541443,21541443,100.0,0,0.0
26,DUMPS,21541443,21541443,100.0,0,0.0
27,BEIKZ,21541443,21541443,100.0,0,0.0
28,ERSKZ,21541443,21541443,100.0,0,0.0
29,AUFST,21541443,21541443,100.0,0,0.0
30,AUFWG,21541443,21541443,100.0,0,0.0
31,BAUST,21541443,21541443,100.0,0,0.0
32,BAUWG,21541443,21541443,100.0,0,0.0
33,EBELN,21541443,21541443,100.0,0,0.0
34,EBELP,21541443,21541443,100.0,0,0.0
35,EBELE,21541443,21541443,100.0,0,0.0
36,KNTTP,21541443,21541443,100.0,0,0.0
37,KZVBR,21541443,21541443,100.0,0,0.0
38,NFEAG,21541443,21541443,100.0,0,0.0
39,NFGRP,21541443,21541443,100.0,0,0.0
40,VERTI,21541443,21541443,100.0,0,0.0
41,KBLNR,21541443,21541443,100.0,0,0.0
42,FIPEX,21541443,21541443,100.0,0,0.0
43,FISTL,21541443,21541443,100.0,0,0.0
44,GEBER,21541443,21541443,100.0,0,0.0
45,GRANT_NBR,21541443,21541443,100.0,0,0.0
46,FKBER,21541443,21541443,100.0,0,0.0
47,PRIO_URG,21541443,21541443,100.0,0,0.0
48,PRIO_REQ,21541443,21541443,100.0,0,0.0
49,KBLPOS,21541443,21541443,100.0,0,0.0
50,NFUML,21541443,21541443,100.0,0,0.0
