Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,130427,130427,100.0,0,0.0
2,SSOUR,130427,130427,100.0,0,0.0
3,VRSIO,130427,130427,100.0,0,0.0
4,KKBER,130427,130427,100.0,0,0.0
5,KNKLI,130427,130427,100.0,0,0.0
6,SPMON,130427,130427,100.0,0,0.0
7,SPTAG,130427,130427,100.0,0,0.0
8,SPWOC,130427,130427,100.0,0,0.0
9,SPBUP,130427,130427,100.0,0,0.0
10,PERIV,130427,130427,100.0,0,0.0
11,VWDAT,130427,130427,100.0,0,0.0
12,CMWAE,130427,130427,100.0,0,0.0
13,OEIKW,130427,130427,100.0,0,0.0
14,AOEIW,130427,130427,100.0,0,0.0
15,src_commit_time,130427,130427,100.0,0,0.0
