Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,58143898,58143898,100.0,0,0.0
2,LETZNR,58143898,58143898,100.0,0,0.0
3,CHARGE,58143898,58143898,100.0,0,0.0
4,LAGERORT,58143898,58143898,100.0,0,0.0
5,WERK,58143898,58143898,100.0,0,0.0
6,KUNDE,58143898,58143898,100.0,0,0.0
7,LIEFERANT,58143898,58143898,100.0,0,0.0
8,VORGANG,58143898,58143898,100.0,0,0.0
9,ANZSN,58143898,58143898,100.0,0,0.0
10,UZEIT,58143898,58143898,100.0,0,0.0
11,OBKNR,58143898,58143898,100.0,0,0.0
12,DATUM,58143898,58143898,100.0,0,0.0
13,SHKZG,58143898,58143898,100.0,0,0.0
14,BWART,58143898,58143898,100.0,0,0.0
15,BLART,58143898,58143898,100.0,0,0.0
16,ZEILE,58143898,58143898,100.0,0,0.0
17,MJAHR,58143898,58143898,100.0,0,0.0
18,MBLNR,58143898,58143898,100.0,0,0.0
19,src_commit_time,58143898,58143898,100.0,0,0.0
