Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,298372,298372,100.0,0,0.0
2,XMITK,298372,298372,100.0,0,0.0
3,XLOEB,298372,298372,100.0,0,0.0
4,XNKON,298372,298372,100.0,0,0.0
5,XOPVW,298372,298372,100.0,0,0.0
6,XSPEB,298372,298372,100.0,0,0.0
7,ZINDT,298372,298372,100.0,0,0.0
8,ZINRT,298372,298372,100.0,0,0.0
9,ZUAWA,298372,298372,100.0,0,0.0
10,ALTKT,298372,298372,100.0,0,0.0
11,RECID,298372,298372,100.0,0,0.0
12,XINTB,298372,298372,100.0,0,0.0
13,FIPOS,298372,298372,100.0,0,0.0
14,XMWNO,298372,298372,100.0,0,0.0
15,XSALH,298372,298372,100.0,0,0.0
16,BEWGP,298372,298372,100.0,0,0.0
17,INFKY,298372,298372,100.0,0,0.0
18,TOGRU,298372,298372,100.0,0,0.0
19,XLGCLR,298372,298372,100.0,0,0.0
20,MCAKEY,298372,298372,100.0,0,0.0
21,XKRES,298372,298372,100.0,0,0.0
22,XGKON,298372,298372,100.0,0,0.0
23,BUKRS,298372,298372,100.0,0,0.0
24,FIPLS,298372,298372,100.0,0,0.0
25,SAKNR,298372,298372,100.0,0,0.0
26,BEGRU,298372,298372,100.0,0,0.0
27,BUSAB,298372,298372,100.0,0,0.0
28,DATLZ,298372,298372,100.0,0,0.0
29,ERDAT,298372,298372,100.0,0,0.0
30,ERNAM,298372,298372,100.0,0,0.0
31,FDGRV,298372,298372,100.0,0,0.0
32,FDLEV,298372,298372,100.0,0,0.0
33,FSTAG,298372,298372,100.0,0,0.0
34,WMETH,298372,298372,100.0,0,0.0
35,HBKID,298372,298372,100.0,0,0.0
36,HKTID,298372,298372,100.0,0,0.0
37,KDFSL,298372,298372,100.0,0,0.0
38,MITKZ,298372,298372,100.0,0,0.0
39,MWSKZ,298372,298372,100.0,0,0.0
40,STEXT,298372,298372,100.0,0,0.0
41,VZSKZ,298372,298372,100.0,0,0.0
42,WAERS,298372,298372,100.0,0,0.0
43,src_commit_time,298372,298372,100.0,0,0.0
