Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,CLIENT,72557156,72557156,100.0,0,0.0
2,_DATAAGING,72557156,72557156,100.0,0,0.0
3,WI_ID,72557156,72557156,100.0,0,0.0
4,ELEMENT,72557156,72557156,100.0,0,0.0
5,TAB_INDEX,72557156,72557156,100.0,0,0.0
6,ELEMLENGTH,72557156,72557156,100.0,0,0.0
7,TYPE,72557156,72557156,100.0,0,0.0
8,LOGSYS,72557156,72557156,100.0,0,0.0
9,OBJTYPE,72557156,72557156,100.0,0,0.0
10,OBJKEY,72557156,72557156,100.0,0,0.0
11,src_commit_time,72557156,72557156,100.0,0,0.0
