Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,6103,6103,100.0,0,0.0
2,J_1BTAXLW1,6103,6103,100.0,0,0.0
3,OSS_CLASSIFICATION,6103,6103,100.0,0,0.0
4,MOSSC,6103,6103,100.0,0,0.0
5,XINACT,6103,6103,100.0,0,0.0
6,J_1BTAXLW5,6103,6103,100.0,0,0.0
7,J_1BTAXLW4,6103,6103,100.0,0,0.0
8,NEWDEFTAX,6103,6103,100.0,0,0.0
9,ZMWSK_ESE,6103,6103,100.0,0,0.0
10,ZMWSK_ESA,6103,6103,100.0,0,0.0
11,TOLERANCE,6103,6103,100.0,0,0.0
12,J_1BTXIPEX,6103,6103,100.0,0,0.0
13,J_1BTXICEX,6103,6103,100.0,0,0.0
14,J_1BTAXLW2,6103,6103,100.0,0,0.0
15,J_1BISS,6103,6103,100.0,0,0.0
16,KALSM,6103,6103,100.0,0,0.0
17,J_1BUSAGE,6103,6103,100.0,0,0.0
18,LSTML,6103,6103,100.0,0,0.0
19,TXREL,6103,6103,100.0,0,0.0
20,TXIND,6103,6103,100.0,0,0.0
21,PROCD,6103,6103,100.0,0,0.0
22,XSLTA,6103,6103,100.0,0,0.0
23,EGRKZ,6103,6103,100.0,0,0.0
24,ZMWSK,6103,6103,100.0,0,0.0
25,XMSTU,6103,6103,100.0,0,0.0
26,MWART,6103,6103,100.0,0,0.0
27,PRUEF,6103,6103,100.0,0,0.0
28,MWSKZ,6103,6103,100.0,0,0.0
29,src_commit_time,6103,6103,100.0,0,0.0
