Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1152,1152,100.0,0,0.0
2,BUKRS,1152,1152,100.0,0,0.0
3,XTPRB,1152,1152,100.0,0,0.0
4,BROLL,1152,1152,100.0,0,0.0
5,WIKON,1152,1152,100.0,0,0.0
6,WKKON,1152,1152,100.0,0,0.0
7,HKID2,1152,1152,100.0,0,0.0
8,HBID2,1152,1152,100.0,0,0.0
9,HKID1,1152,1152,100.0,0,0.0
10,HBID1,1152,1152,100.0,0,0.0
11,MINDT,1152,1152,100.0,0,0.0
12,WEKON,1152,1152,100.0,0,0.0
13,HKONT,1152,1152,100.0,0,0.0
14,ABWAE,1152,1152,100.0,0,0.0
15,FDGRP,1152,1152,100.0,0,0.0
16,BNKN2,1152,1152,100.0,0,0.0
17,DTAAI,1152,1152,100.0,0,0.0
18,REFZL,1152,1152,100.0,0,0.0
19,WAERS,1152,1152,100.0,0,0.0
20,BKONT,1152,1152,100.0,0,0.0
21,BANKN,1152,1152,100.0,0,0.0
22,HKTID,1152,1152,100.0,0,0.0
23,HBKID,1152,1152,100.0,0,0.0
24,src_commit_time,1152,1152,100.0,0,0.0
