Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,134,134,100.0,0,0.0
2,RDP_PROFILE,134,134,100.0,0,0.0
3,KOAKO,134,134,100.0,0,0.0
4,OICSEGI,134,134,100.0,0,0.0
5,OIRFQREQ,134,134,100.0,0,0.0
6,WVVKZ,134,134,100.0,0,0.0
7,XLOKZ,134,134,100.0,0,0.0
8,CP_AKTIVE,134,134,100.0,0,0.0
9,CPTYPE,134,134,100.0,0,0.0
10,FLS_RSTO,134,134,100.0,0,0.0
11,MSR_ACTIVE,134,134,100.0,0,0.0
12,NUMKC,134,134,100.0,0,0.0
13,KOETT,134,134,100.0,0,0.0
14,/SAPMP/CEACT,134,134,100.0,0,0.0
15,/SAPMP/PDACT,134,134,100.0,0,0.0
16,/SAPMP/PPROT,134,134,100.0,0,0.0
17,/SAPMP/PUSER,134,134,100.0,0,0.0
18,/SAPMP/PAUSW,134,134,100.0,0,0.0
19,/SAPMP/ATNAM,134,134,100.0,0,0.0
20,/SAPMP/GAUF,134,134,100.0,0,0.0
21,TOLSL,134,134,100.0,0,0.0
22,MILL_OMKZ,134,134,100.0,0,0.0
23,AR_OBJECT,134,134,100.0,0,0.0
24,UMLIF,134,134,100.0,0,0.0
25,BSTYP,134,134,100.0,0,0.0
26,UPINC,134,134,100.0,0,0.0
27,BSART,134,134,100.0,0,0.0
28,BSAKZ,134,134,100.0,0,0.0
29,PINCR,134,134,100.0,0,0.0
30,NUMKI,134,134,100.0,0,0.0
31,NUMKE,134,134,100.0,0,0.0
32,BREFN,134,134,100.0,0,0.0
33,REFBA,134,134,100.0,0,0.0
34,ABVOR,134,134,100.0,0,0.0
35,STAFO,134,134,100.0,0,0.0
36,STAKO,134,134,100.0,0,0.0
37,KORNR,134,134,100.0,0,0.0
38,PARGR,134,134,100.0,0,0.0
39,NUMKA,134,134,100.0,0,0.0
40,HITYP,134,134,100.0,0,0.0
41,LPHIS,134,134,100.0,0,0.0
42,GSFRG,134,134,100.0,0,0.0
43,VARIANTE,134,134,100.0,0,0.0
44,SHENQ,134,134,100.0,0,0.0
45,KZALE,134,134,100.0,0,0.0
46,ABGEBOT,134,134,100.0,0,0.0
47,src_commit_time,134,134,100.0,0,0.0
