Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,3443149,3443149,100.0,0,0.0
2,SPRAS,3443149,3443149,100.0,0,0.0
3,LAND1,3443149,3443149,100.0,0,0.0
4,STAWN,3443149,3443149,100.0,0,0.0
5,TEXT1,3443149,3443149,100.0,0,0.0
6,TEXT2,3443149,3443149,100.0,0,0.0
7,TEXT3,3443149,3443149,100.0,0,0.0
8,TEXT4,3443149,3443149,100.0,0,0.0
9,TEXT5,3443149,3443149,100.0,0,0.0
10,TEXT6,3443149,3443149,100.0,0,0.0
11,TEXT7,3443149,3443149,100.0,0,0.0
12,src_commit_time,3443149,3443149,100.0,0,0.0
