Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,208,208,100.0,0,0.0
2,NPCO1,208,208,100.0,0,0.0
3,ATCO2,208,208,100.0,0,0.0
4,ATCO1,208,208,100.0,0,0.0
5,CCCO3,208,208,100.0,0,0.0
6,CCCO2,208,208,100.0,0,0.0
7,CCCO1,208,208,100.0,0,0.0
8,RSCO2,208,208,100.0,0,0.0
9,RSCO1,208,208,100.0,0,0.0
10,MTCO1,208,208,100.0,0,0.0
11,NSCO2,208,208,100.0,0,0.0
12,NSCO1,208,208,100.0,0,0.0
13,NPCO2,208,208,100.0,0,0.0
14,CBCO3,208,208,100.0,0,0.0
15,GEGRU,208,208,100.0,0,0.0
16,CBCO2,208,208,100.0,0,0.0
17,CBCO1,208,208,100.0,0,0.0
18,CCC07,208,208,100.0,0,0.0
19,CCC06,208,208,100.0,0,0.0
20,CCC05,208,208,100.0,0,0.0
21,CCC04,208,208,100.0,0,0.0
22,CCC03,208,208,100.0,0,0.0
23,CCC02,208,208,100.0,0,0.0
24,CCC01,208,208,100.0,0,0.0
25,REGIM,208,208,100.0,0,0.0
26,ALNUM,208,208,100.0,0,0.0
27,src_commit_time,208,208,100.0,0,0.0
