Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,471,471,100.0,0,0.0
2,RIZBS,471,471,100.0,0,0.0
3,ROUNDN,471,471,100.0,0,0.0
4,ROUNDG,471,471,100.0,0,0.0
5,TSTRID,471,471,100.0,0,0.0
6,PIPATN,471,471,100.0,0,0.0
7,PIPATG,471,471,100.0,0,0.0
8,LOADTN,471,471,100.0,0,0.0
9,LOADTG,471,471,100.0,0,0.0
10,ALW_SW,471,471,100.0,0,0.0
11,TXNAM_SDB,471,471,100.0,0,0.0
12,IMESS,471,471,100.0,0,0.0
13,KOMSU,471,471,100.0,0,0.0
14,KOQUI,471,471,100.0,0,0.0
15,RIZZT,471,471,100.0,0,0.0
16,LAZZT,471,471,100.0,0,0.0
17,LAZBS,471,471,100.0,0,0.0
18,VSTEL,471,471,100.0,0,0.0
19,NACHA,471,471,100.0,0,0.0
20,VSZTP,471,471,100.0,0,0.0
21,ANZAL,471,471,100.0,0,0.0
22,SPRAS,471,471,100.0,0,0.0
23,KSCHL,471,471,100.0,0,0.0
24,TXNAM_GRU,471,471,100.0,0,0.0
25,TXNAM_FUS,471,471,100.0,0,0.0
26,TXNAM_KOP,471,471,100.0,0,0.0
27,TXNAM_ADR,471,471,100.0,0,0.0
28,AZONE,471,471,100.0,0,0.0
29,ALAND,471,471,100.0,0,0.0
30,ADRNR,471,471,100.0,0,0.0
31,VTRZT,471,471,100.0,0,0.0
32,FABKL,471,471,100.0,0,0.0
33,src_commit_time,471,471,100.0,0,0.0
