Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,24,24,100.0,0,0.0
2,NRVERG,24,24,100.0,0,0.0
3,KZPGN,24,24,100.0,0,0.0
4,STSMA,24,24,100.0,0,0.0
5,TARAVAR,24,24,100.0,0,0.0
6,EXT_NKR,24,24,100.0,0,0.0
7,INT_NKR,24,24,100.0,0,0.0
8,SSCC18,24,24,100.0,0,0.0
9,GRUVS,24,24,100.0,0,0.0
10,TRATY,24,24,100.0,0,0.0
11,VELTP,24,24,100.0,0,0.0
12,WERFD,24,24,100.0,0,0.0
13,SORTF,24,24,100.0,0,0.0
14,KSCHL,24,24,100.0,0,0.0
15,KALSM,24,24,100.0,0,0.0
16,KAPPL,24,24,100.0,0,0.0
17,src_commit_time,24,24,100.0,0,0.0
