Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,82515,82515,100.0,0,0.0
2,VERSN,82515,82515,100.0,0,0.0
3,TZONE,82515,82515,100.0,0,0.0
4,ZBVMASTER,82515,82515,100.0,0,0.0
5,PWDCHGDATE,82515,82515,100.0,0,0.0
6,PWDSTATE,82515,82515,100.0,0,0.0
7,RESERVED,82515,82515,100.0,0,0.0
8,PWDHISTORY,82515,82515,100.0,0,0.0
9,PWDLGNDATE,82515,82515,100.0,0,0.0
10,PWDSETDATE,82515,82515,100.0,0,0.0
11,PWDINITIAL,82515,82515,100.0,0,0.0
12,PWDLOCKDATE,82515,82515,100.0,0,0.0
13,PWDSALTEDHASH,82515,82515,100.0,0,0.0
14,SECURITY_POLICY,82515,82515,100.0,0,0.0
15,BCODE,82515,82515,100.0,0,0.0
16,OCOD1,82515,82515,100.0,0,0.0
17,OCOD2,82515,82515,100.0,0,0.0
18,OCOD3,82515,82515,100.0,0,0.0
19,OCOD4,82515,82515,100.0,0,0.0
20,OCOD5,82515,82515,100.0,0,0.0
21,PASSCODE,82515,82515,100.0,0,0.0
22,CODVN,82515,82515,100.0,0,0.0
23,CODV5,82515,82515,100.0,0,0.0
24,BNAME,82515,82515,100.0,0,0.0
25,BCDA5,82515,82515,100.0,0,0.0
26,GLTGV,82515,82515,100.0,0,0.0
27,GLTGB,82515,82515,100.0,0,0.0
28,USTYP,82515,82515,100.0,0,0.0
29,CLASS,82515,82515,100.0,0,0.0
30,LOCNT,82515,82515,100.0,0,0.0
31,UFLAG,82515,82515,100.0,0,0.0
32,ACCNT,82515,82515,100.0,0,0.0
33,ANAME,82515,82515,100.0,0,0.0
34,ERDAT,82515,82515,100.0,0,0.0
35,TRDAT,82515,82515,100.0,0,0.0
36,LTIME,82515,82515,100.0,0,0.0
37,BCDA1,82515,82515,100.0,0,0.0
38,CODV1,82515,82515,100.0,0,0.0
39,BCDA2,82515,82515,100.0,0,0.0
40,CODV2,82515,82515,100.0,0,0.0
41,BCDA3,82515,82515,100.0,0,0.0
42,CODV3,82515,82515,100.0,0,0.0
43,BCDA4,82515,82515,100.0,0,0.0
44,CODV4,82515,82515,100.0,0,0.0
45,src_commit_time,82515,82515,100.0,0,0.0
