Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,18596526,18596526,100.0,0,0.0
2,TAXK5,18596526,18596526,100.0,0,0.0
3,XEGDR,18596526,18596526,100.0,0,0.0
4,ENQUEUE_GRP,18596526,18596526,100.0,0,0.0
5,DAT_FZAU,18596526,18596526,100.0,0,0.0
6,FMBDAT,18596526,18596526,100.0,0,0.0
7,VSNMR_V,18596526,18596526,100.0,0,0.0
8,HANDLE,18596526,18596526,100.0,0,0.0
9,PROLI,18596526,18596526,100.0,0,0.0
10,CONT_DG,18596526,18596526,100.0,0,0.0
11,CRM_GUID,18596526,18596526,100.0,0,0.0
12,UPD_TMSTMP,18596526,18596526,100.0,0,0.0
13,MSR_ID,18596526,18596526,100.0,0,0.0
14,TM_CTRL_KEY,18596526,18596526,100.0,0,0.0
15,HANDOVERLOC,18596526,18596526,100.0,0,0.0
16,GLO_LOG_REF1_HD,18596526,18596526,100.0,0,0.0
17,/SOIN/REF_VALUE,18596526,18596526,100.0,0,0.0
18,PSM_BUDAT,18596526,18596526,100.0,0,0.0
19,SWENR,18596526,18596526,100.0,0,0.0
20,LANDTX,18596526,18596526,100.0,0,0.0
21,STCEG_L,18596526,18596526,100.0,0,0.0
22,VZEIT,18596526,18596526,100.0,0,0.0
23,AGRZR,18596526,18596526,100.0,0,0.0
24,TAXK7,18596526,18596526,100.0,0,0.0
25,TAXK8,18596526,18596526,100.0,0,0.0
26,TAXK9,18596526,18596526,100.0,0,0.0
27,XBLNR,18596526,18596526,100.0,0,0.0
28,ZUONR,18596526,18596526,100.0,0,0.0
29,VGTYP,18596526,18596526,100.0,0,0.0
30,KALSM_CH,18596526,18596526,100.0,0,0.0
31,AUFNR,18596526,18596526,100.0,0,0.0
32,RPLNR,18596526,18596526,100.0,0,0.0
33,QMNUM,18596526,18596526,100.0,0,0.0
34,VBELN_GRP,18596526,18596526,100.0,0,0.0
35,SCHEME_GRP,18596526,18596526,100.0,0,0.0
36,ABRUF_PART,18596526,18596526,100.0,0,0.0
37,ABHOD,18596526,18596526,100.0,0,0.0
38,ABHOV,18596526,18596526,100.0,0,0.0
39,ABHOB,18596526,18596526,100.0,0,0.0
40,SMENR,18596526,18596526,100.0,0,0.0
41,PHASE,18596526,18596526,100.0,0,0.0
42,MTLAUR,18596526,18596526,100.0,0,0.0
43,ZZCONTRACT_GUID,18596526,18596526,100.0,0,0.0
44,ZZLPRIO,18596526,18596526,100.0,0,0.0
45,ZZCCSP,18596526,18596526,100.0,0,0.0
46,ZZCCSPC,18596526,18596526,100.0,0,0.0
47,ZZKLABC,18596526,18596526,100.0,0,0.0
48,ZZLCEXD,18596526,18596526,100.0,0,0.0
49,ZZLSD,18596526,18596526,100.0,0,0.0
50,ZZCRMB_BILLDOC,18596526,18596526,100.0,0,0.0
51,ZZBILL_CREATOR,18596526,18596526,100.0,0,0.0
52,ZZSHIP_IND,18596526,18596526,100.0,0,0.0
53,ZZBILL_TYPE,18596526,18596526,100.0,0,0.0
54,ZZCRM_FS_OBJECT_ID,18596526,18596526,100.0,0,0.0
55,ZZCRM_FS_GUID_H,18596526,18596526,100.0,0,0.0
56,ZZCRM_CL_IFRS,18596526,18596526,100.0,0,0.0
57,ZZCRM_CL_FISCAL,18596526,18596526,100.0,0,0.0
58,ZZKVGR6,18596526,18596526,100.0,0,0.0
59,ZZFLRR,18596526,18596526,100.0,0,0.0
60,ZZORREF,18596526,18596526,100.0,0,0.0
61,ZZBILLMETHOD,18596526,18596526,100.0,0,0.0
62,STAGE,18596526,18596526,100.0,0,0.0
63,TPLNR,18596526,18596526,100.0,0,0.0
64,HB_CONT_REASON,18596526,18596526,100.0,0,0.0
