Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1961367,1961367,100.0,0,0.0
2,SOBKZ,1961367,1961367,100.0,0,0.0
3,NODIS,1961367,1961367,100.0,0,0.0
4,VPZUO,1961367,1961367,100.0,0,0.0
5,VPMAT,1961367,1961367,100.0,0,0.0
6,VPWRK,1961367,1961367,100.0,0,0.0
7,PRBME,1961367,1961367,100.0,0,0.0
8,UMREF,1961367,1961367,100.0,0,0.0
9,PZMNG,1961367,1961367,100.0,0,0.0
10,KNTTP,1961367,1961367,100.0,0,0.0
11,KZVBR,1961367,1961367,100.0,0,0.0
12,VBELN,1961367,1961367,100.0,0,0.0
13,SERNR,1961367,1961367,100.0,0,0.0
14,PSPEL,1961367,1961367,100.0,0,0.0
15,PLNKZ,1961367,1961367,100.0,0,0.0
16,CUOBJ,1961367,1961367,100.0,0,0.0
17,MONKZ,1961367,1961367,100.0,0,0.0
18,KZBWS,1961367,1961367,100.0,0,0.0
19,TECHS,1961367,1961367,100.0,0,0.0
20,SGT_RCAT,1961367,1961367,100.0,0,0.0
21,KUNNR,1961367,1961367,100.0,0,0.0
22,PROJN,1961367,1961367,100.0,0,0.0
23,AUART,1961367,1961367,100.0,0,0.0
24,AWAHR,1961367,1961367,100.0,0,0.0
25,POSNR,1961367,1961367,100.0,0,0.0
26,ETENR,1961367,1961367,100.0,0,0.0
27,MATNR,1961367,1961367,100.0,0,0.0
28,WERKS,1961367,1961367,100.0,0,0.0
29,BERID,1961367,1961367,100.0,0,0.0
30,MBDAT,1961367,1961367,100.0,0,0.0
31,LGORT,1961367,1961367,100.0,0,0.0
32,CHARG,1961367,1961367,100.0,0,0.0
33,VBTYP,1961367,1961367,100.0,0,0.0
34,BDART,1961367,1961367,100.0,0,0.0
35,PLART,1961367,1961367,100.0,0,0.0
36,OMENG,1961367,1961367,100.0,0,0.0
37,VMENG,1961367,1961367,100.0,0,0.0
38,MEINS,1961367,1961367,100.0,0,0.0
39,VBELE,1961367,1961367,100.0,0,0.0
40,POSNE,1961367,1961367,100.0,0,0.0
41,ETENE,1961367,1961367,100.0,0,0.0
42,src_commit_time,1961367,1961367,100.0,0,0.0
