Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,395970558,395970558,100.0,0,0.0
2,PRFRE,395970558,395970558,100.0,0,0.0
3,ZZTELNO,395970558,395970558,100.0,0,0.0
4,ZZSMTPADR,395970558,395970558,100.0,0,0.0
5,KALE,395970558,395970558,100.0,0,0.0
6,ADRNP,395970558,395970558,100.0,0,0.0
7,PARVW_FF,395970558,395970558,100.0,0,0.0
8,STCEG,395970558,395970558,100.0,0,0.0
9,HZUOR,395970558,395970558,100.0,0,0.0
10,LZONE,395970558,395970558,100.0,0,0.0
11,KNREF,395970558,395970558,100.0,0,0.0
12,HISTUNR,395970558,395970558,100.0,0,0.0
13,BOKRE,395970558,395970558,100.0,0,0.0
14,HITYP,395970558,395970558,100.0,0,0.0
15,VBELN,395970558,395970558,100.0,0,0.0
16,XCPDK,395970558,395970558,100.0,0,0.0
17,ADRDA,395970558,395970558,100.0,0,0.0
18,LAND1,395970558,395970558,100.0,0,0.0
19,ABLAD,395970558,395970558,100.0,0,0.0
20,ADRNR,395970558,395970558,100.0,0,0.0
21,PARNR,395970558,395970558,100.0,0,0.0
22,PERNR,395970558,395970558,100.0,0,0.0
23,LIFNR,395970558,395970558,100.0,0,0.0
24,KUNNR,395970558,395970558,100.0,0,0.0
25,PARVW,395970558,395970558,100.0,0,0.0
26,POSNR,395970558,395970558,100.0,0,0.0
27,src_commit_time,395970558,395970558,100.0,0,0.0
