Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,30201242,30201242,100.0,0,0.0
2,ZUONR,30201242,30201242,100.0,0,0.0
3,NUMPG,30201242,30201242,100.0,0,0.0
4,BVTYP,30201242,30201242,100.0,0,0.0
5,KIDNO,30201242,30201242,100.0,0,0.0
6,AKKUR,30201242,30201242,100.0,0,0.0
7,AKWAE,30201242,30201242,100.0,0,0.0
8,KURRF_DAT,30201242,30201242,100.0,0,0.0
9,J_1AFITP,30201242,30201242,100.0,0,0.0
10,LCNUM,30201242,30201242,100.0,0,0.0
11,RPLNR,30201242,30201242,100.0,0,0.0
12,XEGDR,30201242,30201242,100.0,0,0.0
13,FKSTO,30201242,30201242,100.0,0,0.0
14,LOGSYS,30201242,30201242,100.0,0,0.0
15,MWSBK,30201242,30201242,100.0,0,0.0
16,XBLNR,30201242,30201242,100.0,0,0.0
17,MSCHL,30201242,30201242,100.0,0,0.0
18,STCEG_L,30201242,30201242,100.0,0,0.0
19,STCEG_H,30201242,30201242,100.0,0,0.0
20,LANDTX,30201242,30201242,100.0,0,0.0
21,KAPPL,30201242,30201242,100.0,0,0.0
22,FKART_AB,30201242,30201242,100.0,0,0.0
23,VBUND,30201242,30201242,100.0,0,0.0
24,BSTNK_VF,30201242,30201242,100.0,0,0.0
25,HITYP_PR,30201242,30201242,100.0,0,0.0
26,CMKUF,30201242,30201242,100.0,0,0.0
27,CMWAE,30201242,30201242,100.0,0,0.0
28,KNKLI,30201242,30201242,100.0,0,0.0
29,KKBER,30201242,30201242,100.0,0,0.0
30,SPART,30201242,30201242,100.0,0,0.0
31,BUPLA,30201242,30201242,100.0,0,0.0
32,VKONT,30201242,30201242,100.0,0,0.0
33,FKK_DOCSTAT,30201242,30201242,100.0,0,0.0
34,NRZAS,30201242,30201242,100.0,0,0.0
35,ALAND,30201242,30201242,100.0,0,0.0
36,SPPORD,30201242,30201242,100.0,0,0.0
37,SPPAYM,30201242,30201242,100.0,0,0.0
38,MNDVG,30201242,30201242,100.0,0,0.0
39,SEPON,30201242,30201242,100.0,0,0.0
40,PAY_TYPE,30201242,30201242,100.0,0,0.0
41,MNDID,30201242,30201242,100.0,0,0.0
42,/SOIN/CONTING,30201242,30201242,100.0,0,0.0
43,/SOIN/NFTYPE,30201242,30201242,100.0,0,0.0
44,/SOIN/APPR_STAT,30201242,30201242,100.0,0,0.0
45,/SOIN/APPR_TIME,30201242,30201242,100.0,0,0.0
46,/SOIN/APPR_DATE,30201242,30201242,100.0,0,0.0
47,/SOIN/APPROVER,30201242,30201242,100.0,0,0.0
48,/SOIN/INV_PACK,30201242,30201242,100.0,0,0.0
49,/SOIN/INV_GROUP,30201242,30201242,100.0,0,0.0
50,DPC_REL,30201242,30201242,100.0,0,0.0
51,GLO_LOG_REF1_HD,30201242,30201242,100.0,0,0.0
52,INCO3_L,30201242,30201242,100.0,0,0.0
53,INCO2_L,30201242,30201242,100.0,0,0.0
54,INCOV,30201242,30201242,100.0,0,0.0
55,J_1TPBUPL,30201242,30201242,100.0,0,0.0
56,VBTYP_EXT,30201242,30201242,100.0,0,0.0
57,STGRD,30201242,30201242,100.0,0,0.0
58,FKTYP_CRM,30201242,30201242,100.0,0,0.0
59,FK_SOURCE_SYS,30201242,30201242,100.0,0,0.0
60,VTREF,30201242,30201242,100.0,0,0.0
61,SPE_BILLING_IND,30201242,30201242,100.0,0,0.0
62,MANSP,30201242,30201242,100.0,0,0.0
63,KURST,30201242,30201242,100.0,0,0.0
64,VBELN,30201242,30201242,100.0,0,0.0
65,KDGRP,30201242,30201242,100.0,0,0.0
66,ZLSCH,30201242,30201242,100.0,0,0.0
67,ZTERM,30201242,30201242,100.0,0,0.0
68,VALDT,30201242,30201242,100.0,0,0.0
69,VALTG,30201242,30201242,100.0,0,0.0
70,CPKUR,30201242,30201242,100.0,0,0.0
71,KURRF,30201242,30201242,100.0,0,0.0
72,MRNKZ,30201242,30201242,100.0,0,0.0
73,RFBSK,30201242,30201242,100.0,0,0.0
74,EXPKZ,30201242,30201242,100.0,0,0.0
75,INCO2,30201242,30201242,100.0,0,0.0
76,INCO1,30201242,30201242,100.0,0,0.0
77,PLTYP,30201242,30201242,100.0,0,0.0
78,BZIRK,30201242,30201242,100.0,0,0.0
79,KONDA,30201242,30201242,100.0,0,0.0
80,FKDAT_RL,30201242,30201242,100.0,0,0.0
81,POPER,30201242,30201242,100.0,0,0.0
82,GJAHR,30201242,30201242,100.0,0,0.0
83,BELNR,30201242,30201242,100.0,0,0.0
84,FKDAT,30201242,30201242,100.0,0,0.0
85,VSBED,30201242,30201242,100.0,0,0.0
86,KNUMV,30201242,30201242,100.0,0,0.0
87,KALSM,30201242,30201242,100.0,0,0.0
88,VTWEG,30201242,30201242,100.0,0,0.0
89,VKORG,30201242,30201242,100.0,0,0.0
90,WAERK,30201242,30201242,100.0,0,0.0
91,VBTYP,30201242,30201242,100.0,0,0.0
92,FKTYP,30201242,30201242,100.0,0,0.0
93,FKART,30201242,30201242,100.0,0,0.0
94,KTGRD,30201242,30201242,100.0,0,0.0
95,LAND1,30201242,30201242,100.0,0,0.0
96,REGIO,30201242,30201242,100.0,0,0.0
97,COUNC,30201242,30201242,100.0,0,0.0
98,FKART_RL,30201242,30201242,100.0,0,0.0
99,KNUMA,30201242,30201242,100.0,0,0.0
100,SFAKN,30201242,30201242,100.0,0,0.0
101,AEDAT,30201242,30201242,100.0,0,0.0
102,STCEG,30201242,30201242,100.0,0,0.0
103,EXNUM,30201242,30201242,100.0,0,0.0
104,STWAE,30201242,30201242,100.0,0,0.0
105,MABER,30201242,30201242,100.0,0,0.0
106,KUNAG,30201242,30201242,100.0,0,0.0
107,KUNRG,30201242,30201242,100.0,0,0.0
108,STAFO,30201242,30201242,100.0,0,0.0
109,ERDAT,30201242,30201242,100.0,0,0.0
110,ERZET,30201242,30201242,100.0,0,0.0
111,ERNAM,30201242,30201242,100.0,0,0.0
