Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,56915000,56915000,100.0,0,0.0
2,RRREL,56915000,56915000,100.0,0,0.0
3,KDKG3,56915000,56915000,100.0,0,0.0
4,KDKG4,56915000,56915000,100.0,0,0.0
5,KDKG5,56915000,56915000,100.0,0,0.0
6,VKAUS,56915000,56915000,100.0,0,0.0
7,J_1AINDXP,56915000,56915000,100.0,0,0.0
8,J_1AIDATEP,56915000,56915000,100.0,0,0.0
9,KZFME,56915000,56915000,100.0,0,0.0
10,MWSKZ,56915000,56915000,100.0,0,0.0
11,VERTT,56915000,56915000,100.0,0,0.0
12,VERTN,56915000,56915000,100.0,0,0.0
13,SGTXT,56915000,56915000,100.0,0,0.0
14,DELCO,56915000,56915000,100.0,0,0.0
15,BEMOT,56915000,56915000,100.0,0,0.0
16,AKKUR,56915000,56915000,100.0,0,0.0
17,KDKG1,56915000,56915000,100.0,0,0.0
18,WMINR,56915000,56915000,100.0,0,0.0
19,VGBEL_EX,56915000,56915000,100.0,0,0.0
20,VGPOS_EX,56915000,56915000,100.0,0,0.0
21,LOGSYS,56915000,56915000,100.0,0,0.0
22,VGTYP_EX,56915000,56915000,100.0,0,0.0
23,J_1BTAXLW3,56915000,56915000,100.0,0,0.0
24,J_1BTAXLW4,56915000,56915000,100.0,0,0.0
25,J_1BTAXLW5,56915000,56915000,100.0,0,0.0
26,MSR_ID,56915000,56915000,100.0,0,0.0
27,MSR_REFUND_CODE,56915000,56915000,100.0,0,0.0
28,MSR_RET_REASON,56915000,56915000,100.0,0,0.0
29,NRAB_KNUMH,56915000,56915000,100.0,0,0.0
30,NRAB_VALUE,56915000,56915000,100.0,0,0.0
31,KDKG2,56915000,56915000,100.0,0,0.0
32,WGRU2,56915000,56915000,100.0,0,0.0
33,VBELN,56915000,56915000,100.0,0,0.0
34,ABGES,56915000,56915000,100.0,0,0.0
35,FPLNR,56915000,56915000,100.0,0,0.0
36,FPLTR,56915000,56915000,100.0,0,0.0
37,AKTNR,56915000,56915000,100.0,0,0.0
38,KNUMA_PI,56915000,56915000,100.0,0,0.0
39,KNUMA_AG,56915000,56915000,100.0,0,0.0
40,PREFE,56915000,56915000,100.0,0,0.0
41,MWSBP,56915000,56915000,100.0,0,0.0
42,AUGRU_AUFT,56915000,56915000,100.0,0,0.0
43,FAREG,56915000,56915000,100.0,0,0.0
44,UPMAT,56915000,56915000,100.0,0,0.0
45,UKONM,56915000,56915000,100.0,0,0.0
46,CMPRE_FLT,56915000,56915000,100.0,0,0.0
47,ABFOR,56915000,56915000,100.0,0,0.0
48,J_1ARFZ,56915000,56915000,100.0,0,0.0
49,WGRU1,56915000,56915000,100.0,0,0.0
50,J_1AREGIO,56915000,56915000,100.0,0,0.0
51,J_1AGICD,56915000,56915000,100.0,0,0.0
52,J_1ADTYP,56915000,56915000,100.0,0,0.0
53,J_1ATXREL,56915000,56915000,100.0,0,0.0
54,J_1BCFOP,56915000,56915000,100.0,0,0.0
55,J_1BTAXLW1,56915000,56915000,100.0,0,0.0
56,J_1BTAXLW2,56915000,56915000,100.0,0,0.0
57,J_1BTXSDC,56915000,56915000,100.0,0,0.0
58,BRTWR,56915000,56915000,100.0,0,0.0
59,WKTNR,56915000,56915000,100.0,0,0.0
60,WKTPS,56915000,56915000,100.0,0,0.0
61,RPLNR,56915000,56915000,100.0,0,0.0
62,KURSK_DAT,56915000,56915000,100.0,0,0.0
63,FARR_RELTYPE,56915000,56915000,100.0,0,0.0
64,CLAIMS_TAXATION,56915000,56915000,100.0,0,0.0
65,KURRF_DAT_ORIG,56915000,56915000,100.0,0,0.0
66,ZZKZWIP,56915000,56915000,100.0,0,0.0
67,ZZKZWIC,56915000,56915000,100.0,0,0.0
68,ZZKZWID,56915000,56915000,100.0,0,0.0
69,ZZKZWIE,56915000,56915000,100.0,0,0.0
70,ZZKZWIF,56915000,56915000,100.0,0,0.0
71,ZZKZWIG,56915000,56915000,100.0,0,0.0
72,ZZKZWIH,56915000,56915000,100.0,0,0.0
73,ZZKZWIJ,56915000,56915000,100.0,0,0.0
74,ZZKZWII,56915000,56915000,100.0,0,0.0
75,ZZKZWIK,56915000,56915000,100.0,0,0.0
76,ZZKZWIL,56915000,56915000,100.0,0,0.0
77,ZZKZWIM,56915000,56915000,100.0,0,0.0
78,ZZKZWIN,56915000,56915000,100.0,0,0.0
79,ZZKZWIO,56915000,56915000,100.0,0,0.0
80,ZZKZWIQ,56915000,56915000,100.0,0,0.0
81,VGTYP_EXT,56915000,56915000,100.0,0,0.0
82,ZZKZWIR,56915000,56915000,100.0,0,0.0
83,ZZKZWIS,56915000,56915000,100.0,0,0.0
84,ZZKZWIT,56915000,56915000,100.0,0,0.0
85,ZZKZWIU,56915000,56915000,100.0,0,0.0
86,ZZKZWIV,56915000,56915000,100.0,0,0.0
87,ZZKZWIW,56915000,56915000,100.0,0,0.0
88,ZZKZWIX,56915000,56915000,100.0,0,0.0
89,ZZKZWIY,56915000,56915000,100.0,0,0.0
90,ZZKZWIZ,56915000,56915000,100.0,0,0.0
91,KNUMA_TEMP,56915000,56915000,100.0,0,0.0
92,DISPUTE_CASE,56915000,56915000,100.0,0,0.0
93,FUND_USAGE_ITEM,56915000,56915000,100.0,0,0.0
94,CAMPAIGN,56915000,56915000,100.0,0,0.0
95,ZZKZWIB,56915000,56915000,100.0,0,0.0
96,ZZKZWIA,56915000,56915000,100.0,0,0.0
97,COMPREAS,56915000,56915000,100.0,0,0.0
98,APLZL_OAA,56915000,56915000,100.0,0,0.0
99,SGT_RCAT,56915000,56915000,100.0,0,0.0
100,SGT_SCAT,56915000,56915000,100.0,0,0.0
101,GLO_LOG_REF1_IT,56915000,56915000,100.0,0,0.0
102,AUFPL,56915000,56915000,100.0,0,0.0
103,APLZL,56915000,56915000,100.0,0,0.0
104,DPCNR,56915000,56915000,100.0,0,0.0
105,DCPNR,56915000,56915000,100.0,0,0.0
106,DPNRB,56915000,56915000,100.0,0,0.0
107,/SOIN/REF_VALUE,56915000,56915000,100.0,0,0.0
108,/SOIN/DATA_SRC,56915000,56915000,100.0,0,0.0
109,/SOIN/APPROVER,56915000,56915000,100.0,0,0.0
110,/SOIN/APPR_DATE,56915000,56915000,100.0,0,0.0
111,/SOIN/APPR_TIME,56915000,56915000,100.0,0,0.0
112,/SOIN/APPR_STAT,56915000,56915000,100.0,0,0.0
113,/SOIN/AUART,56915000,56915000,100.0,0,0.0
114,/SOIN/FARR_SRCDOC_ID,56915000,56915000,100.0,0,0.0
115,/SOIN/FARR_FINAL_INVOICE,56915000,56915000,100.0,0,0.0
116,PEROP_BEG,56915000,56915000,100.0,0,0.0
117,PEROP_END,56915000,56915000,100.0,0,0.0
118,FONDS,56915000,56915000,100.0,0,0.0
119,FISTL,56915000,56915000,100.0,0,0.0
120,FKBER,56915000,56915000,100.0,0,0.0
121,GRANT_NBR,56915000,56915000,100.0,0,0.0
122,PRS_WORK_PERIOD,56915000,56915000,100.0,0,0.0
123,PPRCTR,56915000,56915000,100.0,0,0.0
124,PARGB,56915000,56915000,100.0,0,0.0
125,AUFPL_OAA,56915000,56915000,100.0,0,0.0
126,STADAT,56915000,56915000,100.0,0,0.0
127,AUTYP,56915000,56915000,100.0,0,0.0
128,UEPVW,56915000,56915000,100.0,0,0.0
129,WKCTY,56915000,56915000,100.0,0,0.0
130,CHARG,56915000,56915000,100.0,0,0.0
131,MATKL,56915000,56915000,100.0,0,0.0
132,PSTYV,56915000,56915000,100.0,0,0.0
133,POSAR,56915000,56915000,100.0,0,0.0
134,PRODH,56915000,56915000,100.0,0,0.0
135,VSTEL,56915000,56915000,100.0,0,0.0
136,ATPKZ,56915000,56915000,100.0,0,0.0
137,SPART,56915000,56915000,100.0,0,0.0
138,POSPA,56915000,56915000,100.0,0,0.0
139,WERKS,56915000,56915000,100.0,0,0.0
140,ALAND,56915000,56915000,100.0,0,0.0
141,WKREG,56915000,56915000,100.0,0,0.0
142,WKCOU,56915000,56915000,100.0,0,0.0
143,TAXM1,56915000,56915000,100.0,0,0.0
144,KOSTL,56915000,56915000,100.0,0,0.0
145,TAXM2,56915000,56915000,100.0,0,0.0
146,TAXM3,56915000,56915000,100.0,0,0.0
147,TAXM4,56915000,56915000,100.0,0,0.0
148,TAXM5,56915000,56915000,100.0,0,0.0
149,TAXM6,56915000,56915000,100.0,0,0.0
150,TAXM7,56915000,56915000,100.0,0,0.0
151,TAXM8,56915000,56915000,100.0,0,0.0
152,TAXM9,56915000,56915000,100.0,0,0.0
153,KOWRR,56915000,56915000,100.0,0,0.0
154,PRSFD,56915000,56915000,100.0,0,0.0
155,SKTOF,56915000,56915000,100.0,0,0.0
156,SKFBP,56915000,56915000,100.0,0,0.0
157,KONDM,56915000,56915000,100.0,0,0.0
158,PMATN,56915000,56915000,100.0,0,0.0
159,ARKTX,56915000,56915000,100.0,0,0.0
160,MATNR,56915000,56915000,100.0,0,0.0
161,AUREF,56915000,56915000,100.0,0,0.0
162,POSNR,56915000,56915000,100.0,0,0.0
163,UEPOS,56915000,56915000,100.0,0,0.0
164,FKIMG,56915000,56915000,100.0,0,0.0
165,VRKME,56915000,56915000,100.0,0,0.0
166,UMVKZ,56915000,56915000,100.0,0,0.0
167,UMVKN,56915000,56915000,100.0,0,0.0
168,MEINS,56915000,56915000,100.0,0,0.0
169,SMENG,56915000,56915000,100.0,0,0.0
170,FKLMG,56915000,56915000,100.0,0,0.0
171,LMENG,56915000,56915000,100.0,0,0.0
172,NTGEW,56915000,56915000,100.0,0,0.0
173,BRGEW,56915000,56915000,100.0,0,0.0
174,GEWEI,56915000,56915000,100.0,0,0.0
175,VOLUM,56915000,56915000,100.0,0,0.0
176,VOLEH,56915000,56915000,100.0,0,0.0
177,GSBER,56915000,56915000,100.0,0,0.0
178,PRSDT,56915000,56915000,100.0,0,0.0
179,FBUDA,56915000,56915000,100.0,0,0.0
180,KURSK,56915000,56915000,100.0,0,0.0
181,NETWR,56915000,56915000,100.0,0,0.0
182,VBELV,56915000,56915000,100.0,0,0.0
183,POSNV,56915000,56915000,100.0,0,0.0
184,VGBEL,56915000,56915000,100.0,0,0.0
185,VGPOS,56915000,56915000,100.0,0,0.0
