Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,156,156,100.0,0,0.0
2,FIPOS,156,156,100.0,0,0.0
3,XFDIS,156,156,100.0,0,0.0
4,XZANF,156,156,100.0,0,0.0
5,XREF2,156,156,100.0,0,0.0
6,XREF1,156,156,100.0,0,0.0
7,XEGMD,156,156,100.0,0,0.0
8,EGMLD,156,156,100.0,0,0.0
9,ANFAE,156,156,100.0,0,0.0
10,ANFBU,156,156,100.0,0,0.0
11,ANFBJ,156,156,100.0,0,0.0
12,ANFBN,156,156,100.0,0,0.0
13,SAMNR,156,156,100.0,0,0.0
14,MANST,156,156,100.0,0,0.0
15,MADAT,156,156,100.0,0,0.0
16,SWAER,156,156,100.0,0,0.0
17,XEGDR,156,156,100.0,0,0.0
18,KKBER,156,156,100.0,0,0.0
19,VBEWA,156,156,100.0,0,0.0
20,VERTN,156,156,100.0,0,0.0
21,VERTT,156,156,100.0,0,0.0
22,XHKOM,156,156,100.0,0,0.0
23,STCEG,156,156,100.0,0,0.0
24,MABER,156,156,100.0,0,0.0
25,MANSP,156,156,100.0,0,0.0
26,MSCHL,156,156,100.0,0,0.0
27,BLNPZ,156,156,100.0,0,0.0
28,BLNKZ,156,156,100.0,0,0.0
29,BLNBT,156,156,100.0,0,0.0
30,VRSDT,156,156,100.0,0,0.0
31,VRSKZ,156,156,100.0,0,0.0
32,DIEKZ,156,156,100.0,0,0.0
33,RSTGR,156,156,100.0,0,0.0
34,XREF3,156,156,100.0,0,0.0
35,LZBKZ,156,156,100.0,0,0.0
36,XNEGP,156,156,100.0,0,0.0
37,CHWRB,156,156,100.0,0,0.0
38,IRN,156,156,100.0,0,0.0
39,HSN_SAC,156,156,100.0,0,0.0
40,PLC_SUP,156,156,100.0,0,0.0
41,GST_PART,156,156,100.0,0,0.0
42,KONTL,156,156,100.0,0,0.0
43,KONTT,156,156,100.0,0,0.0
44,BUDGET_PD,156,156,100.0,0,0.0
45,J_1TPBUPL,156,156,100.0,0,0.0
46,BEWAR,156,156,100.0,0,0.0
47,HKTID,156,156,100.0,0,0.0
48,ERLKZ,156,156,100.0,0,0.0
49,KBLPOS,156,156,100.0,0,0.0
50,KBLNR,156,156,100.0,0,0.0
51,ANBWA,156,156,100.0,0,0.0
52,DTWS1,156,156,100.0,0,0.0
