Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,3144,3144,100.0,0,0.0
2,FKBER,3144,3144,100.0,0,0.0
3,KBLPOS,3144,3144,100.0,0,0.0
4,STTAX,3144,3144,100.0,0,0.0
5,GEBER,3144,3144,100.0,0,0.0
6,FISTL,3144,3144,100.0,0,0.0
7,VORNR,3144,3144,100.0,0,0.0
8,ABPER,3144,3144,100.0,0,0.0
9,EREKZ,3144,3144,100.0,0,0.0
10,VBUND,3144,3144,100.0,0,0.0
11,AUSBK,3144,3144,100.0,0,0.0
12,XREF1,3144,3144,100.0,0,0.0
13,XREF2,3144,3144,100.0,0,0.0
14,XREF3,3144,3144,100.0,0,0.0
15,CCBTC,3144,3144,100.0,0,0.0
16,RSTGR,3144,3144,100.0,0,0.0
17,GRICD,3144,3144,100.0,0,0.0
18,GRIRG,3144,3144,100.0,0,0.0
19,KBLNR,3144,3144,100.0,0,0.0
20,XFDIS,3144,3144,100.0,0,0.0
21,ZAEHK,3144,3144,100.0,0,0.0
22,STUNR,3144,3144,100.0,0,0.0
23,PAOBJNR,3144,3144,100.0,0,0.0
24,PASUBNR,3144,3144,100.0,0,0.0
25,BTYPE,3144,3144,100.0,0,0.0
26,ETYPE,3144,3144,100.0,0,0.0
27,XEGDR,3144,3144,100.0,0,0.0
28,HRKFT,3144,3144,100.0,0,0.0
29,FIPOS,3144,3144,100.0,0,0.0
30,KOART,3144,3144,100.0,0,0.0
31,VPRSV,3144,3144,100.0,0,0.0
32,PEINH,3144,3144,100.0,0,0.0
33,KDEIN,3144,3144,100.0,0,0.0
34,ANLN1,3144,3144,100.0,0,0.0
35,ANLN2,3144,3144,100.0,0,0.0
36,SMWSK,3144,3144,100.0,0,0.0
37,SWAER,3144,3144,100.0,0,0.0
38,GITYP,3144,3144,100.0,0,0.0
39,IDXSP,3144,3144,100.0,0,0.0
40,BUZID,3144,3144,100.0,0,0.0
41,MEASURE,3144,3144,100.0,0,0.0
42,PBUDGET_PD,3144,3144,100.0,0,0.0
43,FIPEX,3144,3144,100.0,0,0.0
44,PEROP_BEG,3144,3144,100.0,0,0.0
45,PEROP_END,3144,3144,100.0,0,0.0
46,FASTPAY,3144,3144,100.0,0,0.0
47,PPA_EX_IND,3144,3144,100.0,0,0.0
48,FMFGUS_KEY,3144,3144,100.0,0,0.0
49,PRODPER,3144,3144,100.0,0,0.0
50,HSN_SAC,3144,3144,100.0,0,0.0
51,INWARD_NO,3144,3144,100.0,0,0.0
52,INWARD_DT,3144,3144,100.0,0,0.0
53,GROUND_NO,3144,3144,100.0,0,0.0
54,GROUND_DT,3144,3144,100.0,0,0.0
55,GROUND_TYP,3144,3144,100.0,0,0.0
56,CHWRB,3144,3144,100.0,0,0.0
57,BUDGET_PD,3144,3144,100.0,0,0.0
58,PGRANT_NBR,3144,3144,100.0,0,0.0
59,ERLKZ,3144,3144,100.0,0,0.0
60,PGEBER,3144,3144,100.0,0,0.0
61,BUPLA,3144,3144,100.0,0,0.0
62,LSTAR,3144,3144,100.0,0,0.0
63,PSTYP,3144,3144,100.0,0,0.0
64,PRZNR,3144,3144,100.0,0,0.0
65,KONTT,3144,3144,100.0,0,0.0
66,KONTL,3144,3144,100.0,0,0.0
67,HBKID_S,3144,3144,100.0,0,0.0
