Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,6521046,6521046,100.0,0,0.0
2,VBELN,6521046,6521046,100.0,0,0.0
3,VENDREG,6521046,6521046,100.0,0,0.0
4,VASDR,6521046,6521046,100.0,0,0.0
5,WIMID,6521046,6521046,100.0,0,0.0
6,VASDA,6521046,6521046,100.0,0,0.0
7,VDEMDAT,6521046,6521046,100.0,0,0.0
8,VVOREIN,6521046,6521046,100.0,0,0.0
9,VVORZEIT,6521046,6521046,100.0,0,0.0
10,VBEGREG,6521046,6521046,100.0,0,0.0
11,VBEDKUE,6521046,6521046,100.0,0,0.0
12,VBELKUE,6521046,6521046,100.0,0,0.0
13,VENDDAT,6521046,6521046,100.0,0,0.0
14,VKUEGRU,6521046,6521046,100.0,0,0.0
15,VKUEPAR,6521046,6521046,100.0,0,0.0
16,VWUNDAT,6521046,6521046,100.0,0,0.0
17,VEINDAT,6521046,6521046,100.0,0,0.0
18,VAKTSCH,6521046,6521046,100.0,0,0.0
19,VKUESCH,6521046,6521046,100.0,0,0.0
20,VUNTDAT,6521046,6521046,100.0,0,0.0
21,VBEGDAT,6521046,6521046,100.0,0,0.0
22,VABNDAT,6521046,6521046,100.0,0,0.0
23,VINSDAT,6521046,6521046,100.0,0,0.0
24,VLAUFK,6521046,6521046,100.0,0,0.0
25,VLAUEZ,6521046,6521046,100.0,0,0.0
26,VLAUFZ,6521046,6521046,100.0,0,0.0
27,VPOSN,6521046,6521046,100.0,0,0.0
28,src_commit_time,6521046,6521046,100.0,0,0.0
