Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,59690,59690,100.0,0,0.0
2,RBG_NAME,59690,59690,100.0,0,0.0
3,ST_TIME,59690,59690,100.0,0,0.0
4,ST_DATE,59690,59690,100.0,0,0.0
5,ST_DESC,59690,59690,100.0,0,0.0
6,ST_CODE,59690,59690,100.0,0,0.0
7,STATUS_IND,59690,59690,100.0,0,0.0
8,CHG_BY,59690,59690,100.0,0,0.0
9,CHG_DT,59690,59690,100.0,0,0.0
10,CR_BY,59690,59690,100.0,0,0.0
11,CR_DATE,59690,59690,100.0,0,0.0
12,DATE_TO,59690,59690,100.0,0,0.0
13,DATE_FROM,59690,59690,100.0,0,0.0
14,INTTYPE,59690,59690,100.0,0,0.0
15,SUCCESSOR,59690,59690,100.0,0,0.0
16,PREDECESSOR,59690,59690,100.0,0,0.0
17,PS_ID,59690,59690,100.0,0,0.0
18,src_commit_time,59690,59690,100.0,0,0.0
