Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,7940561,7940561,100.0,0,0.0
2,hsdat,7940561,7940561,100.0,0,0.0
3,zverify,7940561,7940561,100.0,0,0.0
4,aezet,7940561,7940561,100.0,0,0.0
5,erzet,7940561,7940561,100.0,0,0.0
6,aedat,7940561,7940561,100.0,0,0.0
7,aenam,7940561,7940561,100.0,0,0.0
8,erdat,7940561,7940561,100.0,0,0.0
9,ernam,7940561,7940561,100.0,0,0.0
10,mhd_io,7940561,7940561,100.0,0,0.0
11,z_udi,7940561,7940561,100.0,0,0.0
12,charg,7940561,7940561,100.0,0,0.0
13,bstnk,7940561,7940561,100.0,0,0.0
14,ean11,7940561,7940561,100.0,0,0.0
15,sernr,7940561,7940561,100.0,0,0.0
16,zdel,7940561,7940561,100.0,0,0.0
17,mfrnr,7940561,7940561,100.0,0,0.0
18,matnr,7940561,7940561,100.0,0,0.0
19,src_commit_time,7940561,7940561,100.0,0,0.0
