Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,164862,164862,100.0,0,0.0
2,GLTRP,164862,164862,100.0,0,0.0
3,AUSVN,164862,164862,100.0,0,0.0
4,PARTS1,164862,164862,100.0,0,0.0
5,PARTS2,164862,164862,100.0,0,0.0
6,PARTS3,164862,164862,100.0,0,0.0
7,PARTS4,164862,164862,100.0,0,0.0
8,GETRI,164862,164862,100.0,0,0.0
9,GSTRP,164862,164862,100.0,0,0.0
10,AUFNR,164862,164862,100.0,0,0.0
11,BISMT,164862,164862,100.0,0,0.0
12,QMCOD,164862,164862,100.0,0,0.0
13,CLARIFY_ID,164862,164862,100.0,0,0.0
14,PROCESS_FLAG,164862,164862,100.0,0,0.0
15,LGTXT,164862,164862,100.0,0,0.0
16,LONG_TEXT,164862,164862,100.0,0,0.0
17,KTEXT,164862,164862,100.0,0,0.0
18,AUART,164862,164862,100.0,0,0.0
19,SERIALNR,164862,164862,100.0,0,0.0
20,EQUNR,164862,164862,100.0,0,0.0
21,MAKTX,164862,164862,100.0,0,0.0
22,MATNR,164862,164862,100.0,0,0.0
23,QMART,164862,164862,100.0,0,0.0
24,SMTP_ADDR,164862,164862,100.0,0,0.0
25,TELF1,164862,164862,100.0,0,0.0
26,LAST_NAME,164862,164862,100.0,0,0.0
27,FIRST_NAME,164862,164862,100.0,0,0.0
28,NAME1,164862,164862,100.0,0,0.0
29,KUNNR,164862,164862,100.0,0,0.0
30,ERZET,164862,164862,100.0,0,0.0
31,ERDAT,164862,164862,100.0,0,0.0
32,UTIME,164862,164862,100.0,0,0.0
33,UDATE,164862,164862,100.0,0,0.0
34,src_commit_time,164862,164862,100.0,0,0.0
