Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,49636798,49636798,100.0,0,0.0
2,END_TIME,49636798,49636798,100.0,0,0.0
3,ASSIGNMENT,49636798,49636798,100.0,0,0.0
4,TIMESTAMP,49636798,49636798,100.0,0,0.0
5,COUNTER,49636798,49636798,100.0,0,0.0
6,ID,49636798,49636798,100.0,0,0.0
7,NAME,49636798,49636798,100.0,0,0.0
8,START_DATE,49636798,49636798,100.0,0,0.0
9,START_TIME,49636798,49636798,100.0,0,0.0
10,END_DATE,49636798,49636798,100.0,0,0.0
11,src_commit_time,49636798,49636798,100.0,0,0.0
