Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,243562,243562,100.0,0,0.0
2,ZWSDT_CUR,243562,243562,100.0,0,0.0
3,ZWEDT_CUR,243562,243562,100.0,0,0.0
4,ZWEDT_ACT,243562,243562,100.0,0,0.0
5,ZFFAD_FC,243562,243562,100.0,0,0.0
6,ZLFAD_FC,243562,243562,100.0,0,0.0
7,ZVASS_SET,243562,243562,100.0,0,0.0
8,ZVASS_FC,243562,243562,100.0,0,0.0
9,ZVASS_CUR,243562,243562,100.0,0,0.0
10,ZVASE_SET,243562,243562,100.0,0,0.0
11,ZVASE_FC,243562,243562,100.0,0,0.0
12,ZVASE_CUR,243562,243562,100.0,0,0.0
13,NIH,243562,243562,100.0,0,0.0
14,NTH,243562,243562,100.0,0,0.0
15,ZIMBDG,243562,243562,100.0,0,0.0
16,EINDT,243562,243562,100.0,0,0.0
17,FSHDT,243562,243562,100.0,0,0.0
18,LSHDT,243562,243562,100.0,0,0.0
19,ZLSHD_ACT,243562,243562,100.0,0,0.0
20,SHSTA,243562,243562,100.0,0,0.0
21,ZDISP,243562,243562,100.0,0,0.0
22,PEC,243562,243562,100.0,0,0.0
23,PEC_ACT,243562,243562,100.0,0,0.0
24,KZSOC,243562,243562,100.0,0,0.0
25,KZSOC_ACT,243562,243562,100.0,0,0.0
26,ZFIN,243562,243562,100.0,0,0.0
27,ZFDATE,243562,243562,100.0,0,0.0
28,ZWSDT_ACT,243562,243562,100.0,0,0.0
29,ZSREC_ACT_SET,243562,243562,100.0,0,0.0
30,VBELN,243562,243562,100.0,0,0.0
31,ZSREC_ACT,243562,243562,100.0,0,0.0
32,ZREVNR,243562,243562,100.0,0,0.0
33,ZREVNM,243562,243562,100.0,0,0.0
34,ZREVDT,243562,243562,100.0,0,0.0
35,ZREVTM,243562,243562,100.0,0,0.0
36,TPLNR,243562,243562,100.0,0,0.0
37,ZLNAM,243562,243562,100.0,0,0.0
38,ZPRID,243562,243562,100.0,0,0.0
39,ZTBAD,243562,243562,100.0,0,0.0
40,ZACKN,243562,243562,100.0,0,0.0
41,ZSRLT,243562,243562,100.0,0,0.0
42,ZSRCH,243562,243562,100.0,0,0.0
43,ZSRCD_SET,243562,243562,100.0,0,0.0
44,ZSRCD_EST,243562,243562,100.0,0,0.0
45,ZSRCD_ACT,243562,243562,100.0,0,0.0
46,ZBISD_SET,243562,243562,100.0,0,0.0
47,ZBISD_FC,243562,243562,100.0,0,0.0
48,ZBISD_CUR,243562,243562,100.0,0,0.0
49,ZBISD_ACT,243562,243562,100.0,0,0.0
50,ZBTSD_SET,243562,243562,100.0,0,0.0
51,ZBTSD_FC,243562,243562,100.0,0,0.0
52,ZBTSD_CUR,243562,243562,100.0,0,0.0
53,ZBTSD_ACT,243562,243562,100.0,0,0.0
54,ZSREC_SET,243562,243562,100.0,0,0.0
55,ZSREC_FC,243562,243562,100.0,0,0.0
56,ZSREC_CUR,243562,243562,100.0,0,0.0
57,src_commit_time,243562,243562,100.0,0,0.0
